date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,1.3771,1.3771,1.3771,1.3771,1.3771,0.0,0.0,,
20230104,1.3807,1.3807,1.3807,1.3807,1.3771,0.0036,0.2614,,
20230105,1.4165,1.4165,1.4165,1.4165,1.3807,0.0358,2.5929,,
20230106,1.399,1.399,1.399,1.399,1.4165,-0.0175,-1.2354,,
20230109,1.4106,1.4106,1.4106,1.4106,1.399,0.0116,0.8292,,
20230110,1.4138,1.4138,1.4138,1.4138,1.4106,0.0032,0.2269,,
20230111,1.4035,1.4035,1.4035,1.4035,1.4138,-0.0103,-0.7285,,
20230112,1.4023,1.4023,1.4023,1.4023,1.4035,-0.0012,-0.0855,,
20230113,1.404,1.404,1.404,1.404,1.4023,0.0017,0.1212,,
20230116,1.4009,1.4009,1.4009,1.4009,1.404,-0.0031,-0.2208,,
20230117,1.4063,1.4063,1.4063,1.4063,1.4009,0.0054,0.3855,,
20230118,1.4248,1.4248,1.4248,1.4248,1.4063,0.0185,1.3155,,
20230119,1.4361,1.4361,1.4361,1.4361,1.4248,0.0113,0.7931,,
20230120,1.4528,1.4528,1.4528,1.4528,1.4361,0.0167,1.1629,,
20230130,1.453,1.453,1.453,1.453,1.4528,0.0002,0.0138,,
20230131,1.4481,1.4481,1.4481,1.4481,1.453,-0.0049,-0.3372,,
20230201,1.4685,1.4685,1.4685,1.4685,1.4481,0.0204,1.4087,,
20230202,1.4905,1.4905,1.4905,1.4905,1.4685,0.022,1.4981,,
20230203,1.5051,1.5051,1.5051,1.5051,1.4905,0.0146,0.9795,,
20230206,1.4974,1.4974,1.4974,1.4974,1.5051,-0.0077,-0.5116,,
20230207,1.5094,1.5094,1.5094,1.5094,1.4974,0.012,0.8014,,
20230208,1.4747,1.4747,1.4747,1.4747,1.5094,-0.0347,-2.2989,,
20230209,1.5001,1.5001,1.5001,1.5001,1.4747,0.0254,1.7224,,
20230210,1.489,1.489,1.489,1.489,1.5001,-0.0111,-0.74,,
20230213,1.4952,1.4952,1.4952,1.4952,1.489,0.0062,0.4164,,
20230214,1.4787,1.4787,1.4787,1.4787,1.4952,-0.0165,-1.1035,,
20230215,1.5072,1.5072,1.5072,1.5072,1.4787,0.0285,1.9274,,
20230216,1.5154,1.5154,1.5154,1.5154,1.5072,0.0082,0.5441,,
20230217,1.4737,1.4737,1.4737,1.4737,1.5154,-0.0417,-2.7517,,
20230220,1.5398,1.5398,1.5398,1.5398,1.4737,0.0661,4.4853,,
20230221,1.5196,1.5196,1.5196,1.5196,1.5398,-0.0202,-1.3119,,
20230222,1.4996,1.4996,1.4996,1.4996,1.5196,-0.02,-1.3161,,
20230223,1.4807,1.4807,1.4807,1.4807,1.4996,-0.0189,-1.2603,,
20230224,1.4779,1.4779,1.4779,1.4779,1.4807,-0.0028,-0.1891,,
20230227,1.4536,1.4536,1.4536,1.4536,1.4779,-0.0243,-1.6442,,
20230228,1.4704,1.4704,1.4704,1.4704,1.4536,0.0168,1.1558,,
20230301,1.5389,1.5389,1.5389,1.5389,1.4704,0.0685,4.6586,,
20230302,1.5568,1.5568,1.5568,1.5568,1.5389,0.0179,1.1632,,
20230303,1.5507,1.5507,1.5507,1.5507,1.5568,-0.0061,-0.3918,,
20230306,1.5473,1.5473,1.5473,1.5473,1.5507,-0.0034,-0.2193,,
