date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,1.1061,1.1061,1.1061,1.1061,1.1061,0.0,0.0,,
20230104,1.0878,1.0878,1.0878,1.0878,1.1061,-0.0183,-1.6545,,
20230105,1.1023,1.1023,1.1023,1.1023,1.0878,0.0145,1.333,,
20230106,1.117,1.117,1.117,1.117,1.1023,0.0147,1.3336,,
20230109,1.147,1.147,1.147,1.147,1.117,0.03,2.6858,,
20230110,1.1518,1.1518,1.1518,1.1518,1.147,0.0048,0.4185,,
20230111,1.1494,1.1494,1.1494,1.1494,1.1518,-0.0024,-0.2084,,
20230112,1.1534,1.1534,1.1534,1.1534,1.1494,0.004,0.348,,
20230113,1.1572,1.1572,1.1572,1.1572,1.1534,0.0038,0.3295,,
20230116,1.1671,1.1671,1.1671,1.1671,1.1572,0.0099,0.8555,,
20230117,1.1643,1.1643,1.1643,1.1643,1.1671,-0.0028,-0.2399,,
20230118,1.1754,1.1754,1.1754,1.1754,1.1643,0.0111,0.9534,,
20230119,1.1812,1.1812,1.1812,1.1812,1.1754,0.0058,0.4934,,
20230120,1.2154,1.2154,1.2154,1.2154,1.1812,0.0342,2.8954,,
20230130,1.226,1.226,1.226,1.226,1.2154,0.0106,0.8721,,
20230131,1.2312,1.2312,1.2312,1.2312,1.226,0.0052,0.4241,,
20230201,1.2644,1.2644,1.2644,1.2644,1.2312,0.0332,2.6966,,
20230202,1.255,1.255,1.255,1.255,1.2644,-0.0094,-0.7434,,
20230203,1.2383,1.2383,1.2383,1.2383,1.255,-0.0167,-1.3307,,
20230206,1.2165,1.2165,1.2165,1.2165,1.2383,-0.0218,-1.7605,,
20230207,1.2227,1.2227,1.2227,1.2227,1.2165,0.0062,0.5097,,
20230208,1.2179,1.2179,1.2179,1.2179,1.2227,-0.0048,-0.3926,,
20230209,1.2228,1.2228,1.2228,1.2228,1.2179,0.0049,0.4023,,
20230210,1.2007,1.2007,1.2007,1.2007,1.2228,-0.0221,-1.8073,,
20230213,1.2043,1.2043,1.2043,1.2043,1.2007,0.0036,0.2998,,
20230214,1.2134,1.2134,1.2134,1.2134,1.2043,0.0091,0.7556,,
20230215,1.2018,1.2018,1.2018,1.2018,1.2134,-0.0116,-0.956,,
20230216,1.172,1.172,1.172,1.172,1.2018,-0.0298,-2.4796,,
20230217,1.1694,1.1694,1.1694,1.1694,1.172,-0.0026,-0.2218,,
20230220,1.1902,1.1902,1.1902,1.1902,1.1694,0.0208,1.7787,,
20230221,1.2115,1.2115,1.2115,1.2115,1.1902,0.0213,1.7896,,
20230222,1.1996,1.1996,1.1996,1.1996,1.2115,-0.0119,-0.9823,,
20230223,1.2048,1.2048,1.2048,1.2048,1.1996,0.0052,0.4335,,
20230224,1.1885,1.1885,1.1885,1.1885,1.2048,-0.0163,-1.3529,,
20230227,1.1809,1.1809,1.1809,1.1809,1.1885,-0.0076,-0.6395,,
20230228,1.1824,1.1824,1.1824,1.1824,1.1809,0.0015,0.127,,
20230301,1.1974,1.1974,1.1974,1.1974,1.1824,0.015,1.2686,,
20230302,1.183,1.183,1.183,1.183,1.1974,-0.0144,-1.2026,,
20230303,1.1801,1.1801,1.1801,1.1801,1.183,-0.0029,-0.2451,,
20230306,1.1815,1.1815,1.1815,1.1815,1.1801,0.0014,0.1186,,
20230307,1.1715,1.1715,1.1715,1.1715,1.1815,-0.01,-0.8464,,
20230308,1.1621,1.1621,1.1621,1.1621,1.1715,-0.0094,-0.8024,,
20230309,1.1619,1.1619,1.1619,1.1619,1.1621,-0.0002,-0.0172,,
20230310,1.1439,1.1439,1.1439,1.1439,1.1619,-0.018,-1.5492,,
20230313,1.1515,1.1515,1.1515,1.1515,1.1439,0.0076,0.6644,,
20230314,1.1473,1.1473,1.1473,1.1473,1.1515,-0.0042,-0.3647,,
20230315,1.1438,1.1438,1.1438,1.1438,1.1473,-0.0035,-0.3051,,
20230316,1.1078,1.1078,1.1078,1.1078,1.1438,-0.036,-3.1474,,
20230317,1.1165,1.1165,1.1165,1.1165,1.1078,0.0087,0.7853,,
20230320,1.1262,1.1262,1.1262,1.1262,1.1165,0.0097,0.8688,,
20230321,1.1411,1.1411,1.1411,1.1411,1.1262,0.0149,1.323,,
20230322,1.138,1.138,1.138,1.138,1.1411,-0.0031,-0.2717,,
20230323,1.1488,1.1488,1.1488,1.1488,1.138,0.0108,0.949,,
20230324,1.1442,1.1442,1.1442,1.1442,1.1488,-0.0046,-0.4004,,
20230327,1.1426,1.1426,1.1426,1.1426,1.1442,-0.0016,-0.1398,,
20230328,1.1266,1.1266,1.1266,1.1266,1.1426,-0.016,-1.4003,,
20230329,1.1233,1.1233,1.1233,1.1233,1.1266,-0.0033,-0.2929,,
20230330,1.132,1.132,1.132,1.132,1.1233,0.0087,0.7745,,
20230331,1.1384,1.1384,1.1384,1.1384,1.132,0.0064,0.5654,,
20230403,1.1459,1.1459,1.1459,1.1459,1.1384,0.0075,0.6588,,
20230404,1.1403,1.1403,1.1403,1.1403,1.1459,-0.0056,-0.4887,,
20230406,1.1515,1.1515,1.1515,1.1515,1.1403,0.0112,0.9822,,
20230407,1.1457,1.1457,1.1457,1.1457,1.1515,-0.0058,-0.5037,,
20230410,1.1539,1.1539,1.1539,1.1539,1.1457,0.0082,0.7157,,
20230411,1.179,1.179,1.179,1.179,1.1539,0.0251,2.1752,,
20230412,1.1824,1.1824,1.1824,1.1824,1.179,0.0034,0.2884,,
20230413,1.1719,1.1719,1.1719,1.1719,1.1824,-0.0105,-0.888,,
20230414,1.2081,1.2081,1.2081,1.2081,1.1719,0.0362,3.089,,
20230417,1.2184,1.2184,1.2184,1.2184,1.2081,0.0103,0.8526,,
20230418,1.2159,1.2159,1.2159,1.2159,1.2184,-0.0025,-0.2052,,
20230419,1.2139,1.2139,1.2139,1.2139,1.2159,-0.002,-0.1645,,
20230420,1.1878,1.1878,1.1878,1.1878,1.2139,-0.0261,-2.1501,,
20230421,1.1628,1.1628,1.1628,1.1628,1.1878,-0.025,-2.1047,,
20230424,1.1362,1.1362,1.1362,1.1362,1.1628,-0.0266,-2.2876,,
20230425,1.106,1.106,1.106,1.106,1.1362,-0.0302,-2.658,,
20230426,1.1184,1.1184,1.1184,1.1184,1.106,0.0124,1.1212,,
20230427,1.1175,1.1175,1.1175,1.1175,1.1184,-0.0009,-0.0805,,
20230428,1.1272,1.1272,1.1272,1.1272,1.1175,0.0097,0.868,,
20230504,1.1274,1.1274,1.1274,1.1274,1.1272,0.0002,0.0177,,
20230505,1.1077,1.1077,1.1077,1.1077,1.1274,-0.0197,-1.7474,,
20230508,1.1239,1.1239,1.1239,1.1239,1.1077,0.0162,1.4625,,
20230509,1.1059,1.1059,1.1059,1.1059,1.1239,-0.018,-1.6016,,
20230510,1.1132,1.1132,1.1132,1.1132,1.1059,0.0073,0.6601,,
20230511,1.1047,1.1047,1.1047,1.1047,1.1132,-0.0085,-0.7636,,
20230512,1.071,1.071,1.071,1.071,1.1047,-0.0337,-3.0506,,
20230515,1.1078,1.1078,1.1078,1.1078,1.071,0.0368,3.436,,
20230516,1.1023,1.1023,1.1023,1.1023,1.1078,-0.0055,-0.4965,,
20230517,1.0925,1.0925,1.0925,1.0925,1.1023,-0.0098,-0.8891,,
20230518,1.0929,1.0929,1.0929,1.0929,1.0925,0.0004,0.0366,,
20230519,1.0818,1.0818,1.0818,1.0818,1.0929,-0.0111,-1.0156,,
20230522,1.0831,1.0831,1.0831,1.0831,1.0818,0.0013,0.1202,,
20230523,1.0682,1.0682,1.0682,1.0682,1.0831,-0.0149,-1.3757,,
20230524,1.0623,1.0623,1.0623,1.0623,1.0682,-0.0059,-0.5523,,
20230525,1.0505,1.0505,1.0505,1.0505,1.0623,-0.0118,-1.1108,,
20230526,1.0495,1.0495,1.0495,1.0495,1.0505,-0.001,-0.0952,,
20230529,1.0464,1.0464,1.0464,1.0464,1.0495,-0.0031,-0.2954,,
20230530,1.0447,1.0447,1.0447,1.0447,1.0464,-0.0017,-0.1625,,
20230531,1.0414,1.0414,1.0414,1.0414,1.0447,-0.0033,-0.3159,,
20230601,1.0491,1.0491,1.0491,1.0491,1.0414,0.0077,0.7394,,
20230602,1.0855,1.0855,1.0855,1.0855,1.0491,0.0364,3.4696,,
20230605,1.0741,1.0741,1.0741,1.0741,1.0855,-0.0114,-1.0502,,
20230606,1.0626,1.0626,1.0626,1.0626,1.0741,-0.0115,-1.0707,,
20230607,1.0551,1.0551,1.0551,1.0551,1.0626,-0.0075,-0.7058,,
20230608,1.0611,1.0611,1.0611,1.0611,1.0551,0.006,0.5687,,
20230609,1.073,1.073,1.073,1.073,1.0611,0.0119,1.1215,,
20230612,1.0675,1.0675,1.0675,1.0675,1.073,-0.0055,-0.5126,,
20230613,1.0655,1.0655,1.0655,1.0655,1.0675,-0.002,-0.1874,,
20230614,1.0672,1.0672,1.0672,1.0672,1.0655,0.0017,0.1595,,
20230615,1.0788,1.0788,1.0788,1.0788,1.0672,0.0116,1.087,,
20230616,1.0856,1.0856,1.0856,1.0856,1.0788,0.0068,0.6303,,
20230619,1.0662,1.0662,1.0662,1.0662,1.0856,-0.0194,-1.787,,
20230620,1.059,1.059,1.059,1.059,1.0662,-0.0072,-0.6753,,
20230621,1.0413,1.0413,1.0413,1.0413,1.059,-0.0177,-1.6714,,
20230626,1.0328,1.0328,1.0328,1.0328,1.0413,-0.0085,-0.8163,,
20230627,1.0478,1.0478,1.0478,1.0478,1.0328,0.015,1.4524,,
20230628,1.044,1.044,1.044,1.044,1.0478,-0.0038,-0.3627,,
20230629,1.0375,1.0375,1.0375,1.0375,1.044,-0.0065,-0.6226,,
20230630,1.0498,1.0498,1.0498,1.0498,1.0375,0.0123,1.1855,,
20230703,1.0677,1.0677,1.0677,1.0677,1.0498,0.0179,1.7051,,
20230704,1.0658,1.0658,1.0658,1.0658,1.0677,-0.0019,-0.178,,
