date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,0.6486,0.6486,0.6486,0.6486,0.6486,0.0,0.0,,
20230104,0.6451,0.6451,0.6451,0.6451,0.6486,-0.0035,-0.5396,,
20230105,0.6499,0.6499,0.6499,0.6499,0.6451,0.0048,0.7441,,
20230106,0.6486,0.6486,0.6486,0.6486,0.6499,-0.0013,-0.2,,
20230109,0.6517,0.6517,0.6517,0.6517,0.6486,0.0031,0.478,,
20230110,0.658,0.658,0.658,0.658,0.6517,0.0063,0.9667,,
20230111,0.6513,0.6513,0.6513,0.6513,0.658,-0.0067,-1.0182,,
20230112,0.649,0.649,0.649,0.649,0.6513,-0.0023,-0.3531,,
20230113,0.6497,0.6497,0.6497,0.6497,0.649,0.0007,0.1079,,
20230116,0.669,0.669,0.669,0.669,0.6497,0.0193,2.9706,,
20230117,0.6833,0.6833,0.6833,0.6833,0.669,0.0143,2.1375,,
20230118,0.6817,0.6817,0.6817,0.6817,0.6833,-0.0016,-0.2342,,
20230119,0.6954,0.6954,0.6954,0.6954,0.6817,0.0137,2.0097,,
20230120,0.6976,0.6976,0.6976,0.6976,0.6954,0.0022,0.3164,,
20230130,0.6978,0.6978,0.6978,0.6978,0.6976,0.0002,0.0287,,
20230131,0.6797,0.6797,0.6797,0.6797,0.6978,-0.0181,-2.5939,,
20230201,0.6909,0.6909,0.6909,0.6909,0.6797,0.0112,1.6478,,
20230202,0.7003,0.7003,0.7003,0.7003,0.6909,0.0094,1.3605,,
20230203,0.6998,0.6998,0.6998,0.6998,0.7003,-0.0005,-0.0714,,
20230206,0.691,0.691,0.691,0.691,0.6998,-0.0088,-1.2575,,
20230207,0.6872,0.6872,0.6872,0.6872,0.691,-0.0038,-0.5499,,
20230208,0.6807,0.6807,0.6807,0.6807,0.6872,-0.0065,-0.9459,,
20230209,0.7067,0.7067,0.7067,0.7067,0.6807,0.026,3.8196,,
20230210,0.7025,0.7025,0.7025,0.7025,0.7067,-0.0042,-0.5943,,
20230213,0.703,0.703,0.703,0.703,0.7025,0.0005,0.0712,,
20230214,0.7017,0.7017,0.7017,0.7017,0.703,-0.0013,-0.1849,,
20230215,0.708,0.708,0.708,0.708,0.7017,0.0063,0.8978,,
20230216,0.6899,0.6899,0.6899,0.6899,0.708,-0.0181,-2.5565,,
20230217,0.6693,0.6693,0.6693,0.6693,0.6899,-0.0206,-2.9859,,
20230220,0.6777,0.6777,0.6777,0.6777,0.6693,0.0084,1.255,,
20230221,0.6749,0.6749,0.6749,0.6749,0.6777,-0.0028,-0.4132,,
20230222,0.6722,0.6722,0.6722,0.6722,0.6749,-0.0027,-0.4001,,
20230223,0.6711,0.6711,0.6711,0.6711,0.6722,-0.0011,-0.1636,,
20230224,0.6686,0.6686,0.6686,0.6686,0.6711,-0.0025,-0.3725,,
20230227,0.6578,0.6578,0.6578,0.6578,0.6686,-0.0108,-1.6153,,
20230228,0.6615,0.6615,0.6615,0.6615,0.6578,0.0037,0.5625,,
20230301,0.6654,0.6654,0.6654,0.6654,0.6615,0.0039,0.5896,,
20230302,0.6595,0.6595,0.6595,0.6595,0.6654,-0.0059,-0.8867,,
20230303,0.6746,0.6746,0.6746,0.6746,0.6595,0.0151,2.2896,,
20230306,0.6767,0.6767,0.6767,0.6767,0.6746,0.0021,0.3113,,
20230307,0.6582,0.6582,0.6582,0.6582,0.6767,-0.0185,-2.7339,,
20230308,0.6623,0.6623,0.6623,0.6623,0.6582,0.0041,0.6229,,
20230309,0.6681,0.6681,0.6681,0.6681,0.6623,0.0058,0.8757,,
20230310,0.6636,0.6636,0.6636,0.6636,0.6681,-0.0045,-0.6736,,
20230313,0.664,0.664,0.664,0.664,0.6636,0.0004,0.0603,,
20230314,0.6832,0.6832,0.6832,0.6832,0.664,0.0192,2.8916,,
20230315,0.6818,0.6818,0.6818,0.6818,0.6832,-0.0014,-0.2049,,
20230316,0.6781,0.6781,0.6781,0.6781,0.6818,-0.0037,-0.5427,,
20230317,0.6869,0.6869,0.6869,0.6869,0.6781,0.0088,1.2977,,
20230320,0.701,0.701,0.701,0.701,0.6869,0.0141,2.0527,,
20230321,0.6995,0.6995,0.6995,0.6995,0.701,-0.0015,-0.214,,
20230322,0.6996,0.6996,0.6996,0.6996,0.6995,0.0001,0.0143,,
20230323,0.726,0.726,0.726,0.726,0.6996,0.0264,3.7736,,
20230324,0.7214,0.7214,0.7214,0.7214,0.726,-0.0046,-0.6336,,
20230327,0.7087,0.7087,0.7087,0.7087,0.7214,-0.0127,-1.7605,,
20230328,0.6904,0.6904,0.6904,0.6904,0.7087,-0.0183,-2.5822,,
20230329,0.712,0.712,0.712,0.712,0.6904,0.0216,3.1286,,
20230330,0.7216,0.7216,0.7216,0.7216,0.712,0.0096,1.3483,,
20230331,0.7271,0.7271,0.7271,0.7271,0.7216,0.0055,0.7622,,
20230403,0.7632,0.7632,0.7632,0.7632,0.7271,0.0361,4.9649,,
20230404,0.7735,0.7735,0.7735,0.7735,0.7632,0.0103,1.3496,,
20230406,0.8091,0.8091,0.8091,0.8091,0.7735,0.0356,4.6025,,
20230407,0.8166,0.8166,0.8166,0.8166,0.8091,0.0075,0.927,,
20230410,0.7923,0.7923,0.7923,0.7923,0.8166,-0.0243,-2.9758,,
20230411,0.7928,0.7928,0.7928,0.7928,0.7923,0.0005,0.0631,,
20230412,0.8028,0.8028,0.8028,0.8028,0.7928,0.01,1.2614,,
20230413,0.7754,0.7754,0.7754,0.7754,0.8028,-0.0274,-3.4131,,
20230414,0.8093,0.8093,0.8093,0.8093,0.7754,0.0339,4.3719,,
20230417,0.8044,0.8044,0.8044,0.8044,0.8093,-0.0049,-0.6055,,
20230418,0.7923,0.7923,0.7923,0.7923,0.8044,-0.0121,-1.5042,,
20230419,0.7909,0.7909,0.7909,0.7909,0.7923,-0.0014,-0.1767,,
20230420,0.8081,0.8081,0.8081,0.8081,0.7909,0.0172,2.1747,,
20230421,0.7647,0.7647,0.7647,0.7647,0.8081,-0.0434,-5.3706,,
20230424,0.7453,0.7453,0.7453,0.7453,0.7647,-0.0194,-2.5369,,
20230425,0.7271,0.7271,0.7271,0.7271,0.7453,-0.0182,-2.442,,
20230426,0.7099,0.7099,0.7099,0.7099,0.7271,-0.0172,-2.3656,,
20230427,0.7101,0.7101,0.7101,0.7101,0.7099,0.0002,0.0282,,
20230428,0.7178,0.7178,0.7178,0.7178,0.7101,0.0077,1.0844,,
20230504,0.7003,0.7003,0.7003,0.7003,0.7178,-0.0175,-2.438,,
20230505,0.696,0.696,0.696,0.696,0.7003,-0.0043,-0.614,,
20230508,0.6955,0.6955,0.6955,0.6955,0.696,-0.0005,-0.0718,,
20230509,0.6836,0.6836,0.6836,0.6836,0.6955,-0.0119,-1.711,,
20230510,0.6763,0.6763,0.6763,0.6763,0.6836,-0.0073,-1.0679,,
20230511,0.6798,0.6798,0.6798,0.6798,0.6763,0.0035,0.5175,,
20230512,0.6729,0.6729,0.6729,0.6729,0.6798,-0.0069,-1.015,,
20230515,0.6795,0.6795,0.6795,0.6795,0.6729,0.0066,0.9808,,
20230516,0.6863,0.6863,0.6863,0.6863,0.6795,0.0068,1.0007,,
20230517,0.6923,0.6923,0.6923,0.6923,0.6863,0.006,0.8743,,
20230518,0.6925,0.6925,0.6925,0.6925,0.6923,0.0002,0.0289,,
20230519,0.7043,0.7043,0.7043,0.7043,0.6925,0.0118,1.704,,
20230522,0.6985,0.6985,0.6985,0.6985,0.7043,-0.0058,-0.8235,,
20230523,0.685,0.685,0.685,0.685,0.6985,-0.0135,-1.9327,,
20230524,0.6845,0.6845,0.6845,0.6845,0.685,-0.0005,-0.073,,
20230525,0.6913,0.6913,0.6913,0.6913,0.6845,0.0068,0.9934,,
20230526,0.6995,0.6995,0.6995,0.6995,0.6913,0.0082,1.1862,,
20230529,0.7029,0.7029,0.7029,0.7029,0.6995,0.0034,0.4861,,
20230530,0.7043,0.7043,0.7043,0.7043,0.7029,0.0014,0.1992,,
20230531,0.7093,0.7093,0.7093,0.7093,0.7043,0.005,0.7099,,
20230601,0.7076,0.7076,0.7076,0.7076,0.7093,-0.0017,-0.2397,,
20230602,0.7065,0.7065,0.7065,0.7065,0.7076,-0.0011,-0.1555,,
20230605,0.7075,0.7075,0.7075,0.7075,0.7065,0.001,0.1415,,
20230606,0.688,0.688,0.688,0.688,0.7075,-0.0195,-2.7562,,
20230607,0.6897,0.6897,0.6897,0.6897,0.688,0.0017,0.2471,,
