date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230519,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
20230526,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
20230602,1.0002,1.0002,1.0002,1.0002,1.0,0.0002,0.02,,
20230605,1.0002,1.0002,1.0002,1.0002,1.0002,0.0,0.0,,
20230606,1.0001,1.0001,1.0001,1.0001,1.0002,-0.0001,-0.01,,
20230607,0.9995,0.9995,0.9995,0.9995,1.0001,-0.0006,-0.06,,
20230608,0.9954,0.9954,0.9954,0.9954,0.9995,-0.0041,-0.4102,,
20230609,1.0006,1.0006,1.0006,1.0006,0.9954,0.0052,0.5224,,
20230612,1.0094,1.0094,1.0094,1.0094,1.0006,0.0088,0.8795,,
20230613,1.0135,1.0135,1.0135,1.0135,1.0094,0.0041,0.4062,,
20230614,1.0174,1.0174,1.0174,1.0174,1.0135,0.0039,0.3848,,
20230615,1.027,1.027,1.027,1.027,1.0174,0.0096,0.9436,,
20230616,1.0348,1.0348,1.0348,1.0348,1.027,0.0078,0.7595,,
20230619,1.034,1.034,1.034,1.034,1.0348,-0.0008,-0.0773,,
20230620,1.0328,1.0328,1.0328,1.0328,1.034,-0.0012,-0.1161,,
20230621,1.0142,1.0142,1.0142,1.0142,1.0328,-0.0186,-1.8009,,
20230626,0.9985,0.9985,0.9985,0.9985,1.0142,-0.0157,-1.548,,
20230627,1.0139,1.0139,1.0139,1.0139,0.9985,0.0154,1.5423,,
20230628,1.0102,1.0102,1.0102,1.0102,1.0139,-0.0037,-0.3649,,
20230629,1.0226,1.0226,1.0226,1.0226,1.0102,0.0124,1.2275,,
20230630,1.036,1.036,1.036,1.036,1.0226,0.0134,1.3104,,
20230703,1.0388,1.0388,1.0388,1.0388,1.036,0.0028,0.2703,,
20230704,1.0435,1.0435,1.0435,1.0435,1.0388,0.0047,0.4524,,
20230705,1.0387,1.0387,1.0387,1.0387,1.0435,-0.0048,-0.46,,
20230706,1.0364,1.0364,1.0364,1.0364,1.0387,-0.0023,-0.2214,,
20230707,1.0305,1.0305,1.0305,1.0305,1.0364,-0.0059,-0.5693,,
20230710,1.0306,1.0306,1.0306,1.0306,1.0305,0.0001,0.0097,,
20230711,1.0376,1.0376,1.0376,1.0376,1.0306,0.007,0.6792,,
20230712,1.0222,1.0222,1.0222,1.0222,1.0376,-0.0154,-1.4842,,
20230713,1.0343,1.0343,1.0343,1.0343,1.0222,0.0121,1.1837,,
20230714,1.0364,1.0364,1.0364,1.0364,1.0343,0.0021,0.203,,
20230717,1.0322,1.0322,1.0322,1.0322,1.0364,-0.0042,-0.4052,,
20230718,1.0306,1.0306,1.0306,1.0306,1.0322,-0.0016,-0.155,,
20230719,1.0299,1.0299,1.0299,1.0299,1.0306,-0.0007,-0.0679,,
20230720,1.0186,1.0186,1.0186,1.0186,1.0299,-0.0113,-1.0972,,
20230721,1.0186,1.0186,1.0186,1.0186,1.0186,0.0,0.0,,
20230724,1.0215,1.0215,1.0215,1.0215,1.0186,0.0029,0.2847,,
20230725,1.0345,1.0345,1.0345,1.0345,1.0215,0.013,1.2726,,
20230726,1.0248,1.0248,1.0248,1.0248,1.0345,-0.0097,-0.9377,,
20230727,1.0165,1.0165,1.0165,1.0165,1.0248,-0.0083,-0.8099,,
20230728,1.0255,1.0255,1.0255,1.0255,1.0165,0.009,0.8854,,
20230731,1.032,1.032,1.032,1.032,1.0255,0.0065,0.6338,,
20230801,1.03,1.03,1.03,1.03,1.032,-0.002,-0.1938,,
20230802,1.0303,1.0303,1.0303,1.0303,1.03,0.0003,0.0291,,
20230803,1.0306,1.0306,1.0306,1.0306,1.0303,0.0003,0.0291,,
20230804,1.0372,1.0372,1.0372,1.0372,1.0306,0.0066,0.6404,,
20230807,1.0326,1.0326,1.0326,1.0326,1.0372,-0.0046,-0.4435,,
20230808,1.0292,1.0292,1.0292,1.0292,1.0326,-0.0034,-0.3293,,
20230809,1.0206,1.0206,1.0206,1.0206,1.0292,-0.0086,-0.8356,,
20230810,1.0199,1.0199,1.0199,1.0199,1.0206,-0.0007,-0.0686,,
20230811,1.0053,1.0053,1.0053,1.0053,1.0199,-0.0146,-1.4315,,
20230814,1.0091,1.0091,1.0091,1.0091,1.0053,0.0038,0.378,,
20230815,1.0033,1.0033,1.0033,1.0033,1.0091,-0.0058,-0.5748,,
20230816,0.9951,0.9951,0.9951,0.9951,1.0033,-0.0082,-0.8173,,
20230817,1.0058,1.0058,1.0058,1.0058,0.9951,0.0107,1.0753,,
20230818,0.9899,0.9899,0.9899,0.9899,1.0058,-0.0159,-1.5808,,
20230821,0.9824,0.9824,0.9824,0.9824,0.9899,-0.0075,-0.7577,,
20230822,0.9891,0.9891,0.9891,0.9891,0.9824,0.0067,0.682,,
20230823,0.9744,0.9744,0.9744,0.9744,0.9891,-0.0147,-1.4862,,
20230824,0.9749,0.9749,0.9749,0.9749,0.9744,0.0005,0.0513,,
20230825,0.9588,0.9588,0.9588,0.9588,0.9749,-0.0161,-1.6515,,
20230828,0.9672,0.9672,0.9672,0.9672,0.9588,0.0084,0.8761,,
20230829,0.9976,0.9976,0.9976,0.9976,0.9672,0.0304,3.1431,,
20230830,1.0051,1.0051,1.0051,1.0051,0.9976,0.0075,0.7518,,
20230831,0.9994,0.9994,0.9994,0.9994,1.0051,-0.0057,-0.5671,,
20230901,0.9976,0.9976,0.9976,0.9976,0.9994,-0.0018,-0.1801,,
20230904,1.0118,1.0118,1.0118,1.0118,0.9976,0.0142,1.4234,,
20230905,1.0071,1.0071,1.0071,1.0071,1.0118,-0.0047,-0.4645,,
20230906,1.0128,1.0128,1.0128,1.0128,1.0071,0.0057,0.566,,
20230907,0.9973,0.9973,0.9973,0.9973,1.0128,-0.0155,-1.5304,,
20230908,0.998,0.998,0.998,0.998,0.9973,0.0007,0.0702,,
20230911,1.0127,1.0127,1.0127,1.0127,0.998,0.0147,1.4729,,
20230912,1.0136,1.0136,1.0136,1.0136,1.0127,0.0009,0.0889,,
20230913,1.0006,1.0006,1.0006,1.0006,1.0136,-0.013,-1.2826,,
20230914,0.9944,0.9944,0.9944,0.9944,1.0006,-0.0062,-0.6196,,
20230915,0.9965,0.9965,0.9965,0.9965,0.9944,0.0021,0.2112,,
20230918,1.0015,1.0015,1.0015,1.0015,0.9965,0.005,0.5018,,
20230919,0.9921,0.9921,0.9921,0.9921,1.0015,-0.0094,-0.9386,,
20230920,0.9854,0.9854,0.9854,0.9854,0.9921,-0.0067,-0.6753,,
20230921,0.9788,0.9788,0.9788,0.9788,0.9854,-0.0066,-0.6698,,
20230922,0.9992,0.9992,0.9992,0.9992,0.9788,0.0204,2.0842,,
20230925,0.9925,0.9925,0.9925,0.9925,0.9992,-0.0067,-0.6705,,
20230926,0.9884,0.9884,0.9884,0.9884,0.9925,-0.0041,-0.4131,,
20230927,0.9968,0.9968,0.9968,0.9968,0.9884,0.0084,0.8499,,
20230928,1.004,1.004,1.004,1.004,0.9968,0.0072,0.7223,,
20230930,1.004,1.004,1.004,1.004,1.004,0.0,0.0,,
20231009,0.9987,0.9987,0.9987,0.9987,1.004,-0.0053,-0.5279,,
20231010,0.9945,0.9945,0.9945,0.9945,0.9987,-0.0042,-0.4205,,
20231011,0.9997,0.9997,0.9997,0.9997,0.9945,0.0052,0.5229,,
20231012,1.008,1.008,1.008,1.008,0.9997,0.0083,0.8302,,
20231013,1.0037,1.0037,1.0037,1.0037,1.008,-0.0043,-0.4266,,
20231016,0.993,0.993,0.993,0.993,1.0037,-0.0107,-1.0661,,
20231017,0.9908,0.9908,0.9908,0.9908,0.993,-0.0022,-0.2216,,
20231018,0.9728,0.9728,0.9728,0.9728,0.9908,-0.018,-1.8167,,
20231019,0.9667,0.9667,0.9667,0.9667,0.9728,-0.0061,-0.6271,,
20231020,0.9579,0.9579,0.9579,0.9579,0.9667,-0.0088,-0.9103,,
20231023,0.9339,0.9339,0.9339,0.9339,0.9579,-0.024,-2.5055,,
20231024,0.9507,0.9507,0.9507,0.9507,0.9339,0.0168,1.7989,,
20231025,0.9587,0.9587,0.9587,0.9587,0.9507,0.008,0.8415,,
20231026,0.9617,0.9617,0.9617,0.9617,0.9587,0.003,0.3129,,
20231027,0.9782,0.9782,0.9782,0.9782,0.9617,0.0165,1.7157,,
20231030,0.9911,0.9911,0.9911,0.9911,0.9782,0.0129,1.3187,,
20231031,0.9875,0.9875,0.9875,0.9875,0.9911,-0.0036,-0.3632,,
20231101,0.9883,0.9883,0.9883,0.9883,0.9875,0.0008,0.081,,
20231102,0.979,0.979,0.979,0.979,0.9883,-0.0093,-0.941,,
20231103,0.9917,0.9917,0.9917,0.9917,0.979,0.0127,1.2972,,
20231106,1.0141,1.0141,1.0141,1.0141,0.9917,0.0224,2.2587,,
20231107,1.0196,1.0196,1.0196,1.0196,1.0141,0.0055,0.5424,,
20231108,1.0234,1.0234,1.0234,1.0234,1.0196,0.0038,0.3727,,
20231109,1.0185,1.0185,1.0185,1.0185,1.0234,-0.0049,-0.4788,,
20231110,1.0153,1.0153,1.0153,1.0153,1.0185,-0.0032,-0.3142,,
20231113,1.026,1.026,1.026,1.026,1.0153,0.0107,1.0539,,
20231114,1.0335,1.0335,1.0335,1.0335,1.026,0.0075,0.731,,
20231115,1.0404,1.0404,1.0404,1.0404,1.0335,0.0069,0.6676,,
20231116,1.0294,1.0294,1.0294,1.0294,1.0404,-0.011,-1.0573,,
20231117,1.0367,1.0367,1.0367,1.0367,1.0294,0.0073,0.7092,,
20231120,1.0468,1.0468,1.0468,1.0468,1.0367,0.0101,0.9742,,
20231121,1.0441,1.0441,1.0441,1.0441,1.0468,-0.0027,-0.2579,,
20231122,1.0349,1.0349,1.0349,1.0349,1.0441,-0.0092,-0.8811,,
20231123,1.0442,1.0442,1.0442,1.0442,1.0349,0.0093,0.8986,,
20231124,1.0304,1.0304,1.0304,1.0304,1.0442,-0.0138,-1.3216,,
20231127,1.0294,1.0294,1.0294,1.0294,1.0304,-0.001,-0.097,,
20231128,1.0363,1.0363,1.0363,1.0363,1.0294,0.0069,0.6703,,
20231129,1.0307,1.0307,1.0307,1.0307,1.0363,-0.0056,-0.5404,,
20231130,1.023,1.023,1.023,1.023,1.0307,-0.0077,-0.7471,,
20231201,1.0322,1.0322,1.0322,1.0322,1.023,0.0092,0.8993,,
20231204,1.0319,1.0319,1.0319,1.0319,1.0322,-0.0003,-0.0291,,
20231205,1.0113,1.0113,1.0113,1.0113,1.0319,-0.0206,-1.9963,,
20231206,1.0181,1.0181,1.0181,1.0181,1.0113,0.0068,0.6724,,
