date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230725,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
20230728,0.9999,0.9999,0.9999,0.9999,1.0,-0.0001,-0.01,,
20230804,0.9979,0.9979,0.9979,0.9979,0.9999,-0.002,-0.2,,
20230811,0.9998,0.9998,0.9998,0.9998,0.9979,0.0019,0.1904,,
20230814,1.0011,1.0011,1.0011,1.0011,0.9998,0.0013,0.13,,
20230815,1.0011,1.0011,1.0011,1.0011,1.0011,0.0,0.0,,
20230816,1.0034,1.0034,1.0034,1.0034,1.0011,0.0023,0.2297,,
20230817,1.0036,1.0036,1.0036,1.0036,1.0034,0.0002,0.0199,,
20230818,1.0009,1.0009,1.0009,1.0009,1.0036,-0.0027,-0.269,,
20230821,1.0045,1.0045,1.0045,1.0045,1.0009,0.0036,0.3597,,
20230822,1.0038,1.0038,1.0038,1.0038,1.0045,-0.0007,-0.0697,,
20230823,1.0063,1.0063,1.0063,1.0063,1.0038,0.0025,0.2491,,
20230824,1.0093,1.0093,1.0093,1.0093,1.0063,0.003,0.2981,,
20230825,1.0067,1.0067,1.0067,1.0067,1.0093,-0.0026,-0.2576,,
20230828,1.007,1.007,1.007,1.007,1.0067,0.0003,0.0298,,
20230829,1.0101,1.0101,1.0101,1.0101,1.007,0.0031,0.3078,,
20230830,1.0129,1.0129,1.0129,1.0129,1.0101,0.0028,0.2772,,
20230831,1.016,1.016,1.016,1.016,1.0129,0.0031,0.3061,,
20230901,1.0149,1.0149,1.0149,1.0149,1.016,-0.0011,-0.1083,,
20230904,1.0193,1.0193,1.0193,1.0193,1.0149,0.0044,0.4335,,
20230905,1.0201,1.0201,1.0201,1.0201,1.0193,0.0008,0.0785,,
20230906,1.018,1.018,1.018,1.018,1.0201,-0.0021,-0.2059,,
20230907,1.0176,1.0176,1.0176,1.0176,1.018,-0.0004,-0.0393,,
20230908,1.0235,1.0235,1.0235,1.0235,1.0176,0.0059,0.5798,,
20230911,1.0244,1.0244,1.0244,1.0244,1.0235,0.0009,0.0879,,
20230912,1.0258,1.0258,1.0258,1.0258,1.0244,0.0014,0.1367,,
20230913,1.0284,1.0284,1.0284,1.0284,1.0258,0.0026,0.2535,,
20230914,1.0375,1.0375,1.0375,1.0375,1.0284,0.0091,0.8849,,
20230915,1.0293,1.0293,1.0293,1.0293,1.0375,-0.0082,-0.7904,,
20230918,1.0237,1.0237,1.0237,1.0237,1.0293,-0.0056,-0.5441,,
20230919,1.0301,1.0301,1.0301,1.0301,1.0237,0.0064,0.6252,,
20230920,1.036,1.036,1.036,1.036,1.0301,0.0059,0.5728,,
20230921,1.034,1.034,1.034,1.034,1.036,-0.002,-0.1931,,
20230922,1.0315,1.0315,1.0315,1.0315,1.034,-0.0025,-0.2418,,
20230925,1.0364,1.0364,1.0364,1.0364,1.0315,0.0049,0.475,,
20230926,1.0366,1.0366,1.0366,1.0366,1.0364,0.0002,0.0193,,
20230927,1.0204,1.0204,1.0204,1.0204,1.0366,-0.0162,-1.5628,,
20230928,0.9876,0.9876,0.9876,0.9876,1.0204,-0.0328,-3.2144,,
20230930,0.9876,0.9876,0.9876,0.9876,0.9876,0.0,0.0,,
20231009,0.9962,0.9962,0.9962,0.9962,0.9876,0.0086,0.8708,,
20231010,0.9838,0.9838,0.9838,0.9838,0.9962,-0.0124,-1.2447,,
20231011,0.9877,0.9877,0.9877,0.9877,0.9838,0.0039,0.3964,,
20231012,0.9928,0.9928,0.9928,0.9928,0.9877,0.0051,0.5164,,
20231013,0.9961,0.9961,0.9961,0.9961,0.9928,0.0033,0.3324,,
20231016,1.0106,1.0106,1.0106,1.0106,0.9961,0.0145,1.4557,,
20231017,1.0125,1.0125,1.0125,1.0125,1.0106,0.0019,0.188,,
20231018,1.0189,1.0189,1.0189,1.0189,1.0125,0.0064,0.6321,,
20231019,1.025,1.025,1.025,1.025,1.0189,0.0061,0.5987,,
20231020,1.0355,1.0355,1.0355,1.0355,1.025,0.0105,1.0244,,
20231023,1.0334,1.0334,1.0334,1.0334,1.0355,-0.0021,-0.2028,,
20231024,1.0315,1.0315,1.0315,1.0315,1.0334,-0.0019,-0.1839,,
20231025,1.0301,1.0301,1.0301,1.0301,1.0315,-0.0014,-0.1357,,
20231026,1.0357,1.0357,1.0357,1.0357,1.0301,0.0056,0.5436,,
20231027,1.0362,1.0362,1.0362,1.0362,1.0357,0.0005,0.0483,,
20231030,1.0412,1.0412,1.0412,1.0412,1.0362,0.005,0.4825,,
20231031,1.0418,1.0418,1.0418,1.0418,1.0412,0.0006,0.0576,,
20231101,1.0374,1.0374,1.0374,1.0374,1.0418,-0.0044,-0.4223,,
20231102,1.0389,1.0389,1.0389,1.0389,1.0374,0.0015,0.1446,,
20231103,1.0389,1.0389,1.0389,1.0389,1.0389,0.0,0.0,,
20231106,1.0345,1.0345,1.0345,1.0345,1.0389,-0.0044,-0.4235,,
20231107,1.0302,1.0302,1.0302,1.0302,1.0345,-0.0043,-0.4157,,
20231108,1.0257,1.0257,1.0257,1.0257,1.0302,-0.0045,-0.4368,,
20231109,1.02,1.02,1.02,1.02,1.0257,-0.0057,-0.5557,,
20231110,1.0253,1.0253,1.0253,1.0253,1.02,0.0053,0.5196,,
20231113,1.0218,1.0218,1.0218,1.0218,1.0253,-0.0035,-0.3414,,
20231114,1.0255,1.0255,1.0255,1.0255,1.0218,0.0037,0.3621,,
20231115,1.0291,1.0291,1.0291,1.0291,1.0255,0.0036,0.351,,
20231116,1.0261,1.0261,1.0261,1.0261,1.0291,-0.003,-0.2915,,
20231117,1.0284,1.0284,1.0284,1.0284,1.0261,0.0023,0.2241,,
20231120,1.0189,1.0189,1.0189,1.0189,1.0284,-0.0095,-0.9238,,
20231121,1.0165,1.0165,1.0165,1.0165,1.0189,-0.0024,-0.2355,,
20231122,1.0131,1.0131,1.0131,1.0131,1.0165,-0.0034,-0.3345,,
20231123,1.012,1.012,1.012,1.012,1.0131,-0.0011,-0.1086,,
20231124,1.0129,1.0129,1.0129,1.0129,1.012,0.0009,0.0889,,
20231127,1.022,1.022,1.022,1.022,1.0129,0.0091,0.8984,,
20231128,1.0274,1.0274,1.0274,1.0274,1.022,0.0054,0.5284,,
20231129,1.0328,1.0328,1.0328,1.0328,1.0274,0.0054,0.5256,,
20231130,1.0332,1.0332,1.0332,1.0332,1.0328,0.0004,0.0387,,
20231201,1.0335,1.0335,1.0335,1.0335,1.0332,0.0003,0.029,,
20231204,1.0465,1.0465,1.0465,1.0465,1.0335,0.013,1.2579,,
20231205,1.0312,1.0312,1.0312,1.0312,1.0465,-0.0153,-1.462,,
20231206,1.0297,1.0297,1.0297,1.0297,1.0312,-0.0015,-0.1455,,
20231207,1.0311,1.0311,1.0311,1.0311,1.0297,0.0014,0.136,,
20231208,1.0326,1.0326,1.0326,1.0326,1.0311,0.0015,0.1455,,
20231211,1.0263,1.0263,1.0263,1.0263,1.0326,-0.0063,-0.6101,,
20231212,1.0215,1.0215,1.0215,1.0215,1.0263,-0.0048,-0.4677,,
20231213,1.0216,1.0216,1.0216,1.0216,1.0215,0.0001,0.0098,,
20231214,1.035,1.035,1.035,1.035,1.0216,0.0134,1.3117,,
20231215,1.0339,1.0339,1.0339,1.0339,1.035,-0.0011,-0.1063,,
20231218,1.033,1.033,1.033,1.033,1.0339,-0.0009,-0.087,,
20231219,1.0339,1.0339,1.0339,1.0339,1.033,0.0009,0.0871,,
20231220,1.0384,1.0384,1.0384,1.0384,1.0339,0.0045,0.4352,,
20231221,1.0375,1.0375,1.0375,1.0375,1.0384,-0.0009,-0.0867,,
20231222,1.0434,1.0434,1.0434,1.0434,1.0375,0.0059,0.5687,,
20231225,1.044,1.044,1.044,1.044,1.0434,0.0006,0.0575,,
20231226,1.0487,1.0487,1.0487,1.0487,1.044,0.0047,0.4502,,
20231227,1.05,1.05,1.05,1.05,1.0487,0.0013,0.124,,
