date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20241104,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
20241108,0.9995,0.9995,0.9995,0.9995,1.0,-0.0005,-0.05,,
20241115,0.9961,0.9961,0.9961,0.9961,0.9995,-0.0034,-0.3402,,
20241122,0.9985,0.9985,0.9985,0.9985,0.9961,0.0024,0.2409,,
20241129,0.9968,0.9968,0.9968,0.9968,0.9985,-0.0017,-0.1703,,
20241203,0.998,0.998,0.998,0.998,0.9968,0.0012,0.1204,,
20241204,0.9978,0.9978,0.9978,0.9978,0.998,-0.0002,-0.02,,
20241205,0.9944,0.9944,0.9944,0.9944,0.9978,-0.0034,-0.3407,,
20241206,0.9983,0.9983,0.9983,0.9983,0.9944,0.0039,0.3922,,
20241209,1.0085,1.0085,1.0085,1.0085,0.9983,0.0102,1.0217,,
20241210,1.0055,1.0055,1.0055,1.0055,1.0085,-0.003,-0.2975,,
20241211,1.0201,1.0201,1.0201,1.0201,1.0055,0.0146,1.452,,
20241212,1.0275,1.0275,1.0275,1.0275,1.0201,0.0074,0.7254,,
20241213,0.9974,0.9974,0.9974,0.9974,1.0275,-0.0301,-2.9294,,
20241216,0.9796,0.9796,0.9796,0.9796,0.9974,-0.0178,-1.7846,,
20241217,0.9697,0.9697,0.9697,0.9697,0.9796,-0.0099,-1.0106,,
20241218,0.9693,0.9693,0.9693,0.9693,0.9697,-0.0004,-0.0412,,
20241219,0.9608,0.9608,0.9608,0.9608,0.9693,-0.0085,-0.8769,,
20241220,0.9508,0.9508,0.9508,0.9508,0.9608,-0.01,-1.0408,,
20241223,0.9543,0.9543,0.9543,0.9543,0.9508,0.0035,0.3681,,
20241224,0.9556,0.9556,0.9556,0.9556,0.9543,0.0013,0.1362,,
20241225,0.947,0.947,0.947,0.947,0.9556,-0.0086,-0.9,,
20241226,0.9527,0.9527,0.9527,0.9527,0.947,0.0057,0.6019,,
20241227,0.9503,0.9503,0.9503,0.9503,0.9527,-0.0024,-0.2519,,
20241230,0.9491,0.9491,0.9491,0.9491,0.9503,-0.0012,-0.1263,,
20241231,0.9392,0.9392,0.9392,0.9392,0.9491,-0.0099,-1.0431,,
20250102,0.9536,0.9536,0.9536,0.9536,0.9392,0.0144,1.5332,,
20250103,0.9662,0.9662,0.9662,0.9662,0.9536,0.0126,1.3213,,
20250106,0.9637,0.9637,0.9637,0.9637,0.9662,-0.0025,-0.2587,,
20250107,0.9827,0.9827,0.9827,0.9827,0.9637,0.019,1.9716,,
20250108,0.9775,0.9775,0.9775,0.9775,0.9827,-0.0052,-0.5292,,
20250109,0.978,0.978,0.978,0.978,0.9775,0.0005,0.0512,,
20250110,0.9775,0.9775,0.9775,0.9775,0.978,-0.0005,-0.0511,,
20250113,0.9938,0.9938,0.9938,0.9938,0.9775,0.0163,1.6675,,
20250114,0.9987,0.9987,0.9987,0.9987,0.9938,0.0049,0.4931,,
20250115,0.9811,0.9811,0.9811,0.9811,0.9987,-0.0176,-1.7623,,
