date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20241031,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
20241101,0.9998,0.9998,0.9998,0.9998,1.0,-0.0002,-0.02,,
20241108,1.0069,1.0069,1.0069,1.0069,0.9998,0.0071,0.7101,,
20241113,1.0089,1.0089,1.0089,1.0089,1.0069,0.002,0.1986,,
20241114,0.9946,0.9946,0.9946,0.9946,1.0089,-0.0143,-1.4174,,
20241115,0.9796,0.9796,0.9796,0.9796,0.9946,-0.015,-1.5081,,
20241118,0.9726,0.9726,0.9726,0.9726,0.9796,-0.007,-0.7146,,
20241119,0.9808,0.9808,0.9808,0.9808,0.9726,0.0082,0.8431,,
20241120,0.9847,0.9847,0.9847,0.9847,0.9808,0.0039,0.3976,,
20241121,0.9849,0.9849,0.9849,0.9849,0.9847,0.0002,0.0203,,
20241122,0.9557,0.9557,0.9557,0.9557,0.9849,-0.0292,-2.9648,,
20241125,0.9514,0.9514,0.9514,0.9514,0.9557,-0.0043,-0.4499,,
20241126,0.9475,0.9475,0.9475,0.9475,0.9514,-0.0039,-0.4099,,
20241127,0.964,0.964,0.964,0.964,0.9475,0.0165,1.7414,,
20241128,0.9555,0.9555,0.9555,0.9555,0.964,-0.0085,-0.8817,,
20241129,0.9662,0.9662,0.9662,0.9662,0.9555,0.0107,1.1198,,
20241202,0.9758,0.9758,0.9758,0.9758,0.9662,0.0096,0.9936,,
20241203,0.9755,0.9755,0.9755,0.9755,0.9758,-0.0003,-0.0307,,
20241204,0.9694,0.9694,0.9694,0.9694,0.9755,-0.0061,-0.6253,,
20241205,0.9684,0.9684,0.9684,0.9684,0.9694,-0.001,-0.1032,,
20241206,0.9808,0.9808,0.9808,0.9808,0.9684,0.0124,1.2805,,
20241209,0.9785,0.9785,0.9785,0.9785,0.9808,-0.0023,-0.2345,,
20241210,0.985,0.985,0.985,0.985,0.9785,0.0065,0.6643,,
20241211,0.9852,0.9852,0.9852,0.9852,0.985,0.0002,0.0203,,
20241212,0.9935,0.9935,0.9935,0.9935,0.9852,0.0083,0.8425,,
20241213,0.972,0.972,0.972,0.972,0.9935,-0.0215,-2.1641,,
20241216,0.9655,0.9655,0.9655,0.9655,0.972,-0.0065,-0.6687,,
20241217,0.9655,0.9655,0.9655,0.9655,0.9655,0.0,0.0,,
20241218,0.9708,0.9708,0.9708,0.9708,0.9655,0.0053,0.5489,,
20241219,0.9727,0.9727,0.9727,0.9727,0.9708,0.0019,0.1957,,
20241220,0.9707,0.9707,0.9707,0.9707,0.9727,-0.002,-0.2056,,
20241223,0.9681,0.9681,0.9681,0.9681,0.9707,-0.0026,-0.2678,,
20241224,0.9789,0.9789,0.9789,0.9789,0.9681,0.0108,1.1156,,
20241225,0.9771,0.9771,0.9771,0.9771,0.9789,-0.0018,-0.1839,,
20241226,0.9795,0.9795,0.9795,0.9795,0.9771,0.0024,0.2456,,
20241227,0.9782,0.9782,0.9782,0.9782,0.9795,-0.0013,-0.1327,,
20241230,0.9811,0.9811,0.9811,0.9811,0.9782,0.0029,0.2965,,
20241231,0.9645,0.9645,0.9645,0.9645,0.9811,-0.0166,-1.692,,
20250102,0.9377,0.9377,0.9377,0.9377,0.9645,-0.0268,-2.7786,,
20250103,0.9254,0.9254,0.9254,0.9254,0.9377,-0.0123,-1.3117,,
20250106,0.9237,0.9237,0.9237,0.9237,0.9254,-0.0017,-0.1837,,
20250107,0.9315,0.9315,0.9315,0.9315,0.9237,0.0078,0.8444,,
20250108,0.9293,0.9293,0.9293,0.9293,0.9315,-0.0022,-0.2362,,
20250109,0.9285,0.9285,0.9285,0.9285,0.9293,-0.0008,-0.0861,,
20250110,0.9173,0.9173,0.9173,0.9173,0.9285,-0.0112,-1.2062,,
20250113,0.9157,0.9157,0.9157,0.9157,0.9173,-0.0016,-0.1744,,
20250114,0.9405,0.9405,0.9405,0.9405,0.9157,0.0248,2.7083,,
20250115,0.9342,0.9342,0.9342,0.9342,0.9405,-0.0063,-0.6699,,
20250116,0.9355,0.9355,0.9355,0.9355,0.9342,0.0013,0.1392,,
20250117,0.9391,0.9391,0.9391,0.9391,0.9355,0.0036,0.3848,,
20250120,0.9435,0.9435,0.9435,0.9435,0.9391,0.0044,0.4685,,
20250121,0.945,0.945,0.945,0.945,0.9435,0.0015,0.159,,
20250122,0.9371,0.9371,0.9371,0.9371,0.945,-0.0079,-0.836,,
20250123,0.9369,0.9369,0.9369,0.9369,0.9371,-0.0002,-0.0213,,
20250124,0.9452,0.9452,0.9452,0.9452,0.9369,0.0083,0.8859,,
20250127,0.9401,0.9401,0.9401,0.9401,0.9452,-0.0051,-0.5396,,
20250205,0.938,0.938,0.938,0.938,0.9401,-0.0021,-0.2234,,
20250206,0.9523,0.9523,0.9523,0.9523,0.938,0.0143,1.5245,,
20250207,0.9652,0.9652,0.9652,0.9652,0.9523,0.0129,1.3546,,
20250210,0.9693,0.9693,0.9693,0.9693,0.9652,0.0041,0.4248,,
20250211,0.9645,0.9645,0.9645,0.9645,0.9693,-0.0048,-0.4952,,
20250212,0.9743,0.9743,0.9743,0.9743,0.9645,0.0098,1.0161,,
20250213,0.97,0.97,0.97,0.97,0.9743,-0.0043,-0.4413,,
20250214,0.9789,0.9789,0.9789,0.9789,0.97,0.0089,0.9175,,
20250217,0.98,0.98,0.98,0.98,0.9789,0.0011,0.1124,,
20250218,0.9697,0.9697,0.9697,0.9697,0.98,-0.0103,-1.051,,
20250219,0.9785,0.9785,0.9785,0.9785,0.9697,0.0088,0.9075,,
20250220,0.9773,0.9773,0.9773,0.9773,0.9785,-0.0012,-0.1226,,
20250221,0.9906,0.9906,0.9906,0.9906,0.9773,0.0133,1.3609,,
20250224,0.9886,0.9886,0.9886,0.9886,0.9906,-0.002,-0.2019,,
20250225,0.9784,0.9784,0.9784,0.9784,0.9886,-0.0102,-1.0318,,
20250226,0.986,0.986,0.986,0.986,0.9784,0.0076,0.7768,,
20250227,0.986,0.986,0.986,0.986,0.986,0.0,0.0,,
20250228,0.9649,0.9649,0.9649,0.9649,0.986,-0.0211,-2.14,,
20250303,0.9659,0.9659,0.9659,0.9659,0.9649,0.001,0.1036,,
20250304,0.9664,0.9664,0.9664,0.9664,0.9659,0.0005,0.0518,,
20250305,0.97,0.97,0.97,0.97,0.9664,0.0036,0.3725,,
20250306,0.9844,0.9844,0.9844,0.9844,0.97,0.0144,1.4845,,
20250307,0.9816,0.9816,0.9816,0.9816,0.9844,-0.0028,-0.2844,,
20250310,0.979,0.979,0.979,0.979,0.9816,-0.0026,-0.2649,,
20250311,0.9819,0.9819,0.9819,0.9819,0.979,0.0029,0.2962,,
20250312,0.9789,0.9789,0.9789,0.9789,0.9819,-0.003,-0.3055,,
20250313,0.9734,0.9734,0.9734,0.9734,0.9789,-0.0055,-0.5619,,
20250314,0.9945,0.9945,0.9945,0.9945,0.9734,0.0211,2.1677,,
20250317,0.993,0.993,0.993,0.993,0.9945,-0.0015,-0.1508,,
20250318,0.9965,0.9965,0.9965,0.9965,0.993,0.0035,0.3525,,
20250319,0.9955,0.9955,0.9955,0.9955,0.9965,-0.001,-0.1004,,
20250320,0.9875,0.9875,0.9875,0.9875,0.9955,-0.008,-0.8036,,
20250321,0.9724,0.9724,0.9724,0.9724,0.9875,-0.0151,-1.5291,,
