date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,0.778,0.783,0.768,0.777,0.783,-0.006,-0.7663,1826030.51,141427.162
20230104,0.777,0.783,0.772,0.778,0.777,0.001,0.1287,1209693.27,94187.373
20230105,0.78,0.783,0.773,0.781,0.778,0.003,0.3856,1881154.48,146313.018
20230106,0.781,0.781,0.773,0.776,0.781,-0.005,-0.6402,1211967.25,94072.666
20230109,0.776,0.79,0.772,0.789,0.776,0.013,1.6753,4117153.27,322179.409
20230110,0.785,0.791,0.78,0.789,0.789,0.0,0.0,2037162.0,160264.407
20230111,0.787,0.794,0.782,0.789,0.789,0.0,0.0,1640199.01,129140.165
20230112,0.789,0.791,0.782,0.783,0.789,-0.006,-0.7605,1731889.0,136097.048
20230113,0.785,0.805,0.784,0.801,0.783,0.018,2.2989,2634192.03,210440.87
20230116,0.803,0.821,0.803,0.819,0.801,0.018,2.2472,2741502.02,223694.196
20230117,0.819,0.822,0.804,0.812,0.819,-0.007,-0.8547,2097598.0,170288.035
20230118,0.807,0.811,0.802,0.805,0.812,-0.007,-0.8621,1264581.35,101813.493
20230119,0.804,0.804,0.797,0.803,0.805,-0.002,-0.2484,1399472.0,112003.192
20230120,0.805,0.811,0.803,0.806,0.803,0.003,0.3736,1377075.0,110969.333
20230130,0.81,0.818,0.807,0.808,0.806,0.002,0.2481,1681545.0,136357.148
20230131,0.809,0.825,0.809,0.816,0.808,0.008,0.9901,2519210.0,205732.835
20230201,0.813,0.829,0.812,0.828,0.816,0.012,1.4706,2374137.47,195199.487
20230202,0.827,0.833,0.822,0.832,0.828,0.004,0.4831,1759198.1,145820.593
20230203,0.83,0.838,0.822,0.825,0.832,-0.007,-0.8413,2118420.0,175331.134
20230206,0.821,0.832,0.816,0.831,0.825,0.006,0.7273,2044919.03,168790.373
20230207,0.832,0.834,0.819,0.825,0.831,-0.006,-0.722,1426949.04,117505.316
20230208,0.823,0.824,0.813,0.814,0.825,-0.011,-1.3333,967365.0,79106.883
20230209,0.815,0.819,0.813,0.819,0.814,0.005,0.6143,1302698.09,106417.013
20230210,0.821,0.826,0.816,0.82,0.819,0.001,0.1221,1061621.0,87193.583
20230213,0.822,0.828,0.811,0.818,0.82,-0.002,-0.2439,1825683.0,149230.917
20230214,0.82,0.822,0.809,0.813,0.818,-0.005,-0.6112,1810220.0,147089.571
20230215,0.813,0.813,0.802,0.804,0.813,-0.009,-1.107,1175923.28,94691.185
20230216,0.806,0.814,0.792,0.798,0.804,-0.006,-0.7463,1574817.0,126899.666
20230217,0.8,0.805,0.796,0.797,0.798,-0.001,-0.1253,1803247.0,144331.895
20230220,0.802,0.808,0.794,0.808,0.797,0.011,1.3802,1384902.01,111007.8
20230221,0.806,0.821,0.805,0.816,0.808,0.008,0.9901,4406549.0,358280.82
20230222,0.816,0.823,0.814,0.819,0.816,0.003,0.3676,1397204.02,114429.215
20230223,0.818,0.826,0.815,0.817,0.819,-0.002,-0.2442,1168878.01,95874.538
20230224,0.818,0.829,0.816,0.821,0.817,0.004,0.4896,1240206.0,101932.26
20230227,0.822,0.827,0.813,0.816,0.821,-0.005,-0.609,850550.0,69516.381
20230228,0.817,0.823,0.814,0.823,0.816,0.007,0.8578,1327108.0,108796.976
20230301,0.822,0.823,0.816,0.822,0.823,-0.001,-0.1215,1100587.0,90175.781
20230302,0.821,0.821,0.813,0.814,0.822,-0.008,-0.9732,1476516.0,120435.203
20230303,0.813,0.816,0.807,0.812,0.814,-0.002,-0.2457,949901.0,77085.087
20230306,0.814,0.824,0.808,0.82,0.812,0.008,0.9852,1286411.73,105366.575
20230307,0.818,0.82,0.801,0.802,0.82,-0.018,-2.1951,1036924.01,83885.821
20230308,0.798,0.8,0.793,0.798,0.802,-0.004,-0.4988,1039405.01,82731.56
20230309,0.797,0.803,0.79,0.792,0.798,-0.006,-0.7519,754743.01,59954.557
20230310,0.792,0.792,0.78,0.785,0.792,-0.007,-0.8838,1031084.61,80766.863
20230313,0.782,0.792,0.779,0.792,0.785,0.007,0.8917,1391071.0,109339.449
20230314,0.793,0.812,0.791,0.804,0.792,0.012,1.5152,1502303.0,120895.598
20230315,0.804,0.817,0.804,0.806,0.804,0.002,0.2488,1084144.03,87764.969
20230316,0.806,0.806,0.786,0.786,0.806,-0.02,-2.4814,1400895.0,111090.259
20230317,0.792,0.792,0.782,0.784,0.786,-0.002,-0.2545,985831.0,77456.331
20230320,0.785,0.785,0.771,0.772,0.784,-0.012,-1.5306,1803956.01,139642.974
20230321,0.775,0.777,0.772,0.776,0.772,0.004,0.5181,714778.0,55341.778
20230322,0.777,0.782,0.773,0.776,0.776,0.0,0.0,1290746.02,100406.56
20230323,0.777,0.779,0.772,0.776,0.776,0.0,0.0,962225.02,74543.898
20230324,0.776,0.78,0.773,0.777,0.776,0.001,0.1289,935887.0,72726.916
20230327,0.777,0.785,0.772,0.785,0.777,0.008,1.0296,2015163.0,157161.067
20230328,0.783,0.797,0.782,0.79,0.785,0.005,0.6369,2090239.01,165176.524
20230329,0.789,0.79,0.777,0.779,0.79,-0.011,-1.3924,1330109.0,103778.654
20230330,0.779,0.789,0.779,0.788,0.779,0.009,1.1553,2073025.0,162681.276
20230331,0.796,0.815,0.796,0.803,0.788,0.015,1.9036,2826339.0,228066.487
20230403,0.801,0.824,0.8,0.815,0.803,0.012,1.4944,2063958.0,168274.419
20230404,0.816,0.84,0.815,0.829,0.815,0.014,1.7178,3366130.0,279169.752
20230406,0.83,0.838,0.819,0.826,0.829,-0.003,-0.3619,2347378.91,193615.157
20230407,0.825,0.825,0.815,0.816,0.826,-0.01,-1.2107,2013545.0,164626.939
20230410,0.816,0.823,0.807,0.813,0.816,-0.003,-0.3676,1654599.0,134697.751
20230411,0.813,0.814,0.803,0.807,0.813,-0.006,-0.738,1638448.0,132172.965
20230412,0.806,0.807,0.793,0.796,0.807,-0.011,-1.3631,2322903.08,185306.47
20230413,0.796,0.797,0.788,0.795,0.796,-0.001,-0.1256,1622533.09,128705.411
20230414,0.795,0.796,0.786,0.787,0.795,-0.008,-1.0063,2427880.0,191638.024
20230417,0.789,0.791,0.784,0.791,0.787,0.004,0.5083,3272585.0,257740.466
20230418,0.791,0.793,0.784,0.789,0.791,-0.002,-0.2528,2715023.0,214082.002
20230419,0.788,0.795,0.783,0.786,0.789,-0.003,-0.3802,3510298.0,277027.005
20230420,0.786,0.786,0.776,0.779,0.786,-0.007,-0.8906,2863018.0,223278.468
20230421,0.779,0.784,0.769,0.771,0.779,-0.008,-1.027,2961713.09,229407.456
20230424,0.77,0.771,0.753,0.758,0.771,-0.013,-1.6861,3333813.04,253247.463
20230425,0.759,0.761,0.745,0.756,0.758,-0.002,-0.2639,2443844.03,183816.698
20230426,0.752,0.763,0.75,0.761,0.756,0.005,0.6614,1892601.0,143641.3
20230427,0.76,0.76,0.753,0.755,0.761,-0.006,-0.7884,1617834.0,122341.009
20230428,0.755,0.758,0.75,0.756,0.755,0.001,0.1325,2009770.0,151351.187
20230504,0.754,0.754,0.746,0.747,0.756,-0.009,-1.1905,2558816.0,191786.24
20230505,0.748,0.748,0.731,0.737,0.747,-0.01,-1.3387,3408488.79,250927.144
20230508,0.736,0.738,0.73,0.732,0.737,-0.005,-0.6784,1803663.01,132103.278
20230509,0.732,0.741,0.726,0.734,0.732,0.002,0.2732,3138687.0,230332.167
20230510,0.731,0.733,0.726,0.729,0.734,-0.005,-0.6812,1907707.0,138980.556
20230511,0.729,0.74,0.728,0.731,0.729,0.002,0.2743,1637803.0,120143.759
20230512,0.731,0.74,0.73,0.731,0.731,0.0,0.0,2043855.0,149977.926
20230515,0.732,0.732,0.718,0.727,0.731,-0.004,-0.5472,2865659.1,207320.303
20230516,0.727,0.73,0.723,0.724,0.727,-0.003,-0.4127,2006434.0,145654.951
20230517,0.725,0.727,0.72,0.724,0.724,0.0,0.0,1549232.0,112004.767
20230518,0.725,0.727,0.711,0.712,0.724,-0.012,-1.6575,3355472.71,240629.129
20230519,0.71,0.715,0.703,0.714,0.712,0.002,0.2809,2270498.0,160941.001
20230522,0.712,0.717,0.709,0.716,0.714,0.002,0.2801,2457254.0,175418.901
20230523,0.717,0.719,0.712,0.712,0.716,-0.004,-0.5587,1665104.02,119160.761
20230524,0.711,0.711,0.706,0.707,0.712,-0.005,-0.7022,1519302.0,107635.177
20230525,0.707,0.708,0.693,0.697,0.707,-0.01,-1.4144,2877111.0,201162.584
20230526,0.697,0.698,0.689,0.695,0.697,-0.002,-0.2869,2179159.0,151073.504
20230529,0.694,0.699,0.685,0.689,0.695,-0.006,-0.8633,2026608.56,139912.341
20230530,0.689,0.69,0.675,0.684,0.689,-0.005,-0.7257,3831827.53,260948.429
20230531,0.683,0.683,0.671,0.674,0.684,-0.01,-1.462,2333391.01,157702.645
20230601,0.673,0.681,0.669,0.677,0.674,0.003,0.4451,1880119.0,127319.987
20230602,0.678,0.686,0.677,0.684,0.677,0.007,1.034,1884398.0,128593.544
20230605,0.686,0.686,0.672,0.678,0.684,-0.006,-0.8772,5575128.02,377682.771
20230606,0.677,0.679,0.669,0.671,0.678,-0.007,-1.0324,1910855.64,128888.632
20230607,0.671,0.672,0.666,0.67,0.671,-0.001,-0.149,1643639.0,109974.427
20230608,0.669,0.69,0.668,0.689,0.67,0.019,2.8358,7304810.02,500028.661
20230609,0.688,0.688,0.677,0.686,0.689,-0.003,-0.4354,3108220.32,211936.284
20230612,0.683,0.69,0.68,0.689,0.686,0.003,0.4373,2682271.82,183717.274
20230613,0.686,0.693,0.683,0.684,0.689,-0.005,-0.7257,2745344.0,188363.932
20230614,0.684,0.686,0.679,0.68,0.684,-0.004,-0.5848,1757394.93,119809.128
20230615,0.681,0.685,0.677,0.685,0.68,0.005,0.7353,2106201.0,143305.786
20230616,0.685,0.695,0.683,0.693,0.685,0.008,1.1679,3359331.59,232242.621
20230619,0.692,0.701,0.689,0.691,0.693,-0.002,-0.2886,2620141.0,182079.998
20230620,0.691,0.692,0.686,0.689,0.691,-0.002,-0.2894,1529329.0,105369.773
20230621,0.686,0.69,0.678,0.679,0.689,-0.01,-1.4514,2052878.91,140244.089
20230626,0.676,0.683,0.67,0.676,0.679,-0.003,-0.4418,2594270.9,175138.151
20230627,0.676,0.684,0.674,0.681,0.676,0.005,0.7396,1652555.1,112252.948
20230628,0.681,0.682,0.674,0.681,0.681,0.0,0.0,1687781.0,114562.304
20230629,0.679,0.694,0.677,0.684,0.681,0.003,0.4405,3385078.0,232538.057
20230630,0.686,0.694,0.681,0.69,0.684,0.006,0.8772,3291358.66,227143.688
20230703,0.69,0.695,0.688,0.692,0.69,0.002,0.2899,2389228.01,165193.669
20230704,0.695,0.697,0.688,0.694,0.692,0.002,0.289,2314387.0,159998.905
20230705,0.692,0.692,0.681,0.683,0.694,-0.011,-1.585,2068261.34,141596.598
20230706,0.683,0.694,0.679,0.687,0.683,0.004,0.5857,2674383.0,183509.454
20230707,0.684,0.699,0.682,0.695,0.687,0.008,1.1645,4031399.0,279487.538
20230710,0.695,0.706,0.695,0.696,0.695,0.001,0.1439,2397587.0,167607.914
20230711,0.697,0.7,0.692,0.697,0.696,0.001,0.1437,2324789.0,161885.908
20230712,0.696,0.704,0.694,0.698,0.697,0.001,0.1435,2449489.0,171390.843
20230713,0.7,0.704,0.697,0.703,0.698,0.005,0.7163,1969379.03,138116.351
20230714,0.704,0.704,0.699,0.699,0.703,-0.004,-0.569,1420987.0,99585.047
20230717,0.698,0.709,0.694,0.704,0.699,0.005,0.7153,2565042.0,180270.409
20230718,0.704,0.712,0.702,0.708,0.704,0.004,0.5682,2546275.7,180404.57
20230719,0.709,0.716,0.707,0.713,0.708,0.005,0.7062,3038559.0,216419.954
20230720,0.714,0.717,0.707,0.709,0.713,-0.004,-0.561,1752051.0,124657.759
20230721,0.709,0.719,0.709,0.716,0.709,0.007,0.9873,2897928.04,207306.152
20230724,0.717,0.721,0.702,0.705,0.716,-0.011,-1.5363,2772329.01,196568.423
20230725,0.706,0.708,0.701,0.705,0.705,0.0,0.0,2941180.43,206772.803
20230726,0.704,0.71,0.702,0.709,0.705,0.004,0.5674,2235519.24,158069.986
20230727,0.71,0.717,0.707,0.713,0.709,0.004,0.5642,2389560.24,170395.958
20230728,0.713,0.718,0.709,0.716,0.713,0.003,0.4208,2518207.24,179973.992
20230731,0.72,0.734,0.719,0.733,0.716,0.017,2.3743,3827788.04,277975.555
20230801,0.734,0.735,0.723,0.725,0.733,-0.008,-1.0914,2014531.0,146525.554
20230802,0.725,0.726,0.713,0.715,0.725,-0.01,-1.3793,2243863.07,161008.365
20230803,0.715,0.721,0.713,0.72,0.715,0.005,0.6993,1556546.01,111757.148
20230804,0.721,0.724,0.715,0.716,0.72,-0.004,-0.5556,1869741.0,134244.388
20230807,0.718,0.721,0.714,0.716,0.716,0.0,0.0,2007109.04,143832.356
20230808,0.716,0.717,0.706,0.712,0.716,-0.004,-0.5587,3820457.0,271186.386
20230809,0.709,0.71,0.702,0.703,0.712,-0.009,-1.264,3227067.0,227411.216
20230810,0.702,0.708,0.701,0.707,0.703,0.004,0.569,1320811.0,93171.307
20230811,0.707,0.707,0.69,0.691,0.707,-0.016,-2.2631,2680272.0,186828.054
20230814,0.689,0.689,0.68,0.687,0.691,-0.004,-0.5789,2045831.55,139907.487
20230815,0.686,0.69,0.681,0.686,0.687,-0.001,-0.1456,1710256.0,117259.351
20230816,0.685,0.689,0.681,0.684,0.686,-0.002,-0.2915,1541455.05,105631.277
20230817,0.683,0.687,0.677,0.687,0.684,0.003,0.4386,1685675.0,114980.734
20230818,0.685,0.687,0.673,0.674,0.687,-0.013,-1.8923,1854376.0,125997.141
20230821,0.674,0.674,0.665,0.665,0.674,-0.009,-1.3353,2154026.0,144177.106
20230822,0.666,0.669,0.653,0.662,0.665,-0.003,-0.4511,3687169.91,243398.487
20230823,0.661,0.666,0.657,0.658,0.662,-0.004,-0.6042,1823701.58,120560.801
20230824,0.658,0.67,0.652,0.668,0.658,0.01,1.5198,2716516.0,179399.128
20230825,0.667,0.683,0.665,0.67,0.668,0.002,0.2994,3100348.0,209000.863
20230828,0.695,0.695,0.664,0.67,0.67,0.0,0.0,3344832.07,226889.58
20230829,0.667,0.678,0.664,0.677,0.67,0.007,1.0448,2206429.41,148276.522
20230830,0.676,0.678,0.67,0.673,0.677,-0.004,-0.5908,2174602.0,146613.599
20230831,0.671,0.673,0.666,0.669,0.673,-0.004,-0.5944,1313480.11,87838.789
20230901,0.669,0.675,0.669,0.674,0.669,0.005,0.7474,2693442.85,181343.16
20230904,0.675,0.679,0.673,0.679,0.674,0.005,0.7418,3328940.0,225052.912
20230905,0.678,0.678,0.673,0.675,0.679,-0.004,-0.5891,1193818.11,80500.97
20230906,0.674,0.674,0.67,0.672,0.675,-0.003,-0.4444,1033186.0,69388.917
20230907,0.671,0.675,0.664,0.665,0.672,-0.007,-1.0417,1357566.0,90870.603
20230908,0.665,0.665,0.66,0.662,0.665,-0.003,-0.4511,1053979.04,69802.557
