date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,1.146,1.148,1.12,1.13,1.147,-0.017,-1.4821,285595.09,32237.253
20230104,1.126,1.138,1.118,1.129,1.13,-0.001,-0.0885,216138.38,24381.954
20230105,1.136,1.185,1.134,1.182,1.129,0.053,4.6944,893274.35,104596.989
20230106,1.183,1.192,1.168,1.187,1.182,0.005,0.423,395447.46,46683.781
20230109,1.19,1.223,1.182,1.219,1.187,0.032,2.6959,515890.35,62274.819
20230110,1.216,1.236,1.21,1.225,1.219,0.006,0.4922,367595.0,45007.182
20230111,1.224,1.228,1.208,1.219,1.225,-0.006,-0.4898,305984.03,37292.508
20230112,1.219,1.229,1.209,1.212,1.219,-0.007,-0.5742,291291.03,35379.112
20230113,1.21,1.249,1.21,1.246,1.212,0.034,2.8053,536735.5,66394.65
20230116,1.246,1.288,1.246,1.272,1.246,0.026,2.0867,578777.92,73780.775
20230117,1.272,1.274,1.247,1.256,1.272,-0.016,-1.2579,432562.4,54464.591
20230118,1.257,1.275,1.244,1.247,1.256,-0.009,-0.7166,334248.92,41914.935
20230119,1.246,1.249,1.226,1.242,1.247,-0.005,-0.401,326386.24,40407.784
20230120,1.249,1.262,1.231,1.236,1.242,-0.006,-0.4831,319135.64,39727.419
20230130,1.259,1.267,1.238,1.258,1.236,0.022,1.7799,458238.12,57541.252
20230131,1.256,1.262,1.22,1.224,1.258,-0.034,-2.7027,399098.91,49320.293
20230201,1.222,1.23,1.204,1.23,1.224,0.006,0.4902,332752.37,40541.572
20230202,1.236,1.247,1.224,1.237,1.23,0.007,0.5691,308699.82,38185.033
20230203,1.226,1.234,1.192,1.23,1.237,-0.007,-0.5659,476046.82,57675.677
20230206,1.206,1.214,1.183,1.205,1.23,-0.025,-2.0325,342870.95,41122.637
20230207,1.205,1.216,1.2,1.203,1.205,-0.002,-0.166,182359.25,21983.744
20230208,1.206,1.209,1.189,1.195,1.203,-0.008,-0.665,187558.21,22468.735
20230209,1.194,1.23,1.19,1.23,1.195,0.035,2.9289,458908.02,56050.312
20230210,1.228,1.241,1.221,1.234,1.23,0.004,0.3252,355064.58,43766.568
20230213,1.23,1.288,1.229,1.279,1.234,0.045,3.6467,784211.92,99820.904
20230214,1.279,1.291,1.265,1.271,1.279,-0.008,-0.6255,332268.81,42338.764
20230215,1.273,1.285,1.267,1.273,1.271,0.002,0.1574,290415.85,36993.642
20230216,1.27,1.297,1.262,1.278,1.273,0.005,0.3928,482522.79,61915.12
20230217,1.274,1.297,1.263,1.265,1.278,-0.013,-1.0172,320443.51,41047.67
20230220,1.262,1.291,1.255,1.29,1.265,0.025,1.9763,327290.82,41767.242
20230221,1.289,1.29,1.266,1.275,1.29,-0.015,-1.1628,292297.27,37203.259
20230222,1.27,1.285,1.263,1.27,1.275,-0.005,-0.3922,227568.16,28970.5
20230223,1.269,1.277,1.251,1.259,1.27,-0.011,-0.8661,219285.36,27642.023
20230224,1.254,1.255,1.23,1.242,1.259,-0.017,-1.3503,241250.37,29896.564
20230227,1.23,1.258,1.228,1.251,1.242,0.009,0.7246,272338.8,33974.719
20230228,1.254,1.26,1.236,1.25,1.251,-0.001,-0.0799,183620.44,22871.645
20230301,1.248,1.267,1.239,1.261,1.25,0.011,0.88,228978.37,28768.786
20230302,1.26,1.264,1.253,1.257,1.261,-0.004,-0.3172,116951.12,14702.193
20230303,1.257,1.272,1.243,1.253,1.257,-0.004,-0.3182,163124.02,20451.013
20230306,1.253,1.26,1.235,1.247,1.253,-0.006,-0.4789,164409.88,20485.974
20230307,1.244,1.247,1.225,1.227,1.247,-0.02,-1.6038,193217.9,23867.606
20230308,1.223,1.231,1.212,1.221,1.227,-0.006,-0.489,162235.09,19781.421
20230309,1.221,1.224,1.196,1.213,1.221,-0.008,-0.6552,213088.6,25787.786
20230310,1.208,1.218,1.195,1.196,1.213,-0.017,-1.4015,158796.96,19104.918
20230313,1.193,1.22,1.193,1.215,1.196,0.019,1.5886,206893.16,25105.542
20230314,1.215,1.215,1.19,1.202,1.215,-0.013,-1.07,286837.42,34504.216
20230315,1.21,1.216,1.189,1.19,1.202,-0.012,-0.9983,208263.68,24963.389
20230316,1.187,1.203,1.178,1.19,1.19,0.0,0.0,196162.54,23374.457
20230317,1.193,1.201,1.17,1.174,1.19,-0.016,-1.3445,225083.87,26608.007
20230320,1.169,1.174,1.153,1.16,1.174,-0.014,-1.1925,171767.34,19918.486
20230321,1.162,1.194,1.157,1.19,1.16,0.03,2.5862,331633.4,39163.18
20230322,1.192,1.208,1.185,1.194,1.19,0.004,0.3361,207520.67,24835.831
20230323,1.188,1.214,1.182,1.202,1.194,0.008,0.67,262539.67,31591.54
20230324,1.199,1.215,1.196,1.204,1.202,0.002,0.1664,212021.55,25569.954
20230327,1.207,1.207,1.183,1.194,1.204,-0.01,-0.8306,193098.84,23029.199
20230328,1.191,1.217,1.191,1.214,1.194,0.02,1.675,273482.5,33084.403
20230329,1.219,1.225,1.209,1.223,1.214,0.009,0.7414,248339.66,30278.783
20230330,1.222,1.236,1.213,1.234,1.223,0.011,0.8994,265482.88,32572.45
20230331,1.238,1.252,1.227,1.232,1.234,-0.002,-0.1621,306767.59,37983.492
20230403,1.228,1.237,1.215,1.228,1.232,-0.004,-0.3247,276416.97,33903.87
20230404,1.223,1.239,1.217,1.236,1.228,0.008,0.6515,252403.53,30991.19
20230406,1.231,1.234,1.209,1.211,1.236,-0.025,-2.0227,241166.53,29369.822
20230407,1.205,1.218,1.19,1.201,1.211,-0.01,-0.8258,337588.77,40685.791
20230410,1.195,1.196,1.162,1.183,1.201,-0.018,-1.4988,474766.11,55648.518
20230411,1.181,1.182,1.161,1.162,1.183,-0.021,-1.7751,407504.36,47584.841
20230412,1.166,1.17,1.149,1.15,1.162,-0.012,-1.0327,365065.53,42111.175
20230413,1.14,1.149,1.131,1.144,1.15,-0.006,-0.5217,384453.2,43914.796
20230414,1.141,1.148,1.128,1.13,1.144,-0.014,-1.2238,377883.18,42910.342
20230417,1.135,1.153,1.135,1.146,1.13,0.016,1.4159,356787.85,40918.422
20230418,1.146,1.153,1.141,1.148,1.146,0.002,0.1745,231237.23,26530.735
20230419,1.148,1.149,1.136,1.141,1.148,-0.007,-0.6098,195714.91,22318.085
20230420,1.141,1.144,1.122,1.126,1.141,-0.015,-1.3146,265253.49,29960.831
20230421,1.125,1.134,1.118,1.119,1.126,-0.007,-0.6217,203733.43,22915.718
20230424,1.12,1.12,1.096,1.098,1.119,-0.021,-1.8767,271323.81,29952.073
20230425,1.107,1.119,1.09,1.114,1.098,0.016,1.4572,358077.65,39646.704
20230426,1.117,1.12,1.104,1.114,1.114,0.0,0.0,191193.29,21258.246
20230427,1.115,1.124,1.103,1.116,1.114,0.002,0.1795,208688.55,23230.955
20230428,1.123,1.132,1.118,1.125,1.116,0.009,0.8065,216741.27,24400.53
20230504,1.129,1.137,1.107,1.113,1.125,-0.012,-1.0667,255047.93,28526.347
20230505,1.112,1.121,1.106,1.12,1.113,0.007,0.6289,190312.92,21218.224
20230508,1.122,1.126,1.107,1.108,1.12,-0.012,-1.0714,205186.24,22847.324
20230509,1.108,1.124,1.1,1.113,1.108,0.005,0.4513,275386.49,30660.531
20230510,1.111,1.112,1.098,1.103,1.113,-0.01,-0.8985,149231.4,16471.061
20230511,1.103,1.11,1.096,1.097,1.103,-0.006,-0.544,192725.3,21217.721
20230512,1.096,1.101,1.081,1.083,1.097,-0.014,-1.2762,194365.81,21179.203
20230515,1.082,1.092,1.075,1.092,1.083,0.009,0.831,159304.21,17255.996
20230516,1.093,1.094,1.079,1.082,1.092,-0.01,-0.9158,231920.84,25116.981
20230517,1.081,1.083,1.068,1.071,1.082,-0.011,-1.0166,197302.17,21192.479
20230518,1.074,1.078,1.062,1.064,1.071,-0.007,-0.6536,149553.46,15969.304
20230519,1.061,1.079,1.05,1.078,1.064,0.014,1.3158,295341.52,31529.96
20230522,1.073,1.109,1.062,1.105,1.078,0.027,2.5046,371093.39,40563.313
20230523,1.102,1.107,1.087,1.087,1.105,-0.018,-1.629,223467.57,24462.505
20230524,1.085,1.087,1.072,1.072,1.087,-0.015,-1.3799,165446.4,17866.1
20230525,1.071,1.071,1.059,1.063,1.072,-0.009,-0.8396,203231.57,21600.76
20230526,1.063,1.073,1.055,1.063,1.063,0.0,0.0,162696.59,17300.709
20230529,1.063,1.069,1.05,1.054,1.063,-0.009,-0.8467,182680.9,19298.388
20230530,1.052,1.061,1.036,1.042,1.054,-0.012,-1.1385,288951.29,30208.305
20230531,1.041,1.042,1.016,1.022,1.042,-0.02,-1.9194,312341.65,31998.028
20230601,1.02,1.046,1.019,1.027,1.022,0.005,0.4892,233586.08,24078.746
20230602,1.032,1.049,1.022,1.048,1.027,0.021,2.0448,285608.62,29699.552
20230605,1.042,1.047,1.025,1.026,1.048,-0.022,-2.0992,319020.29,32904.707
20230606,1.027,1.037,1.017,1.023,1.026,-0.003,-0.2924,225469.64,23167.65
20230607,1.024,1.03,1.008,1.009,1.023,-0.014,-1.3685,298033.92,30218.711
20230608,1.008,1.024,1.005,1.017,1.009,0.008,0.7929,169391.66,17165.302
20230609,1.021,1.024,1.011,1.012,1.017,-0.005,-0.4916,170780.34,17344.323
20230612,1.012,1.047,1.007,1.039,1.012,0.027,2.668,363080.33,37344.407
20230613,1.038,1.051,1.034,1.048,1.039,0.009,0.8662,242659.62,25332.75
20230614,1.049,1.08,1.049,1.075,1.048,0.027,2.5763,472229.01,50627.755
20230615,1.075,1.094,1.072,1.092,1.075,0.017,1.5814,387508.72,42019.383
20230616,1.095,1.107,1.089,1.103,1.092,0.011,1.0073,435204.08,47796.85
20230619,1.101,1.103,1.069,1.076,1.103,-0.027,-2.4479,364211.72,39434.114
20230620,1.071,1.08,1.059,1.063,1.076,-0.013,-1.2082,292431.93,31184.604
20230621,1.06,1.066,1.049,1.05,1.063,-0.013,-1.223,209055.16,22082.206
20230626,1.041,1.044,1.019,1.023,1.05,-0.027,-2.5714,331132.49,33982.4
20230627,1.027,1.035,1.017,1.035,1.023,0.012,1.173,251518.94,25906.522
20230628,1.035,1.045,1.027,1.037,1.035,0.002,0.1932,181779.31,18834.348
20230629,1.037,1.037,1.018,1.02,1.037,-0.017,-1.6393,265713.34,27178.136
20230630,1.023,1.025,1.012,1.014,1.02,-0.006,-0.5882,319012.54,32450.75
20230703,1.016,1.042,1.011,1.041,1.014,0.027,2.6627,342087.83,35302.769
20230704,1.041,1.049,1.032,1.048,1.041,0.007,0.6724,247148.84,25785.508
20230705,1.044,1.048,1.027,1.03,1.048,-0.018,-1.7176,248155.84,25593.892
20230706,1.029,1.039,1.02,1.023,1.03,-0.007,-0.6796,192629.68,19773.858
20230707,1.021,1.027,1.016,1.019,1.023,-0.004,-0.391,172655.24,17631.341
20230710,1.022,1.038,1.022,1.027,1.019,0.008,0.7851,201244.88,20718.717
20230711,1.029,1.03,1.02,1.026,1.027,-0.001,-0.0974,156872.7,16065.229
20230712,1.028,1.034,1.024,1.027,1.026,0.001,0.0975,207911.87,21392.843
20230713,1.033,1.063,1.033,1.063,1.027,0.036,3.5054,618852.44,65235.652
20230714,1.066,1.072,1.055,1.061,1.063,-0.002,-0.1881,256176.63,27184.729
20230717,1.059,1.059,1.04,1.048,1.061,-0.013,-1.2253,235571.39,24612.889
20230718,1.047,1.05,1.04,1.044,1.048,-0.004,-0.3817,186456.85,19470.882
20230719,1.041,1.048,1.037,1.043,1.044,-0.001,-0.0958,182341.0,18983.29
20230720,1.046,1.059,1.041,1.042,1.043,-0.001,-0.0959,210028.32,22059.968
20230721,1.044,1.072,1.037,1.064,1.042,0.022,2.1113,516122.79,54823.199
20230724,1.058,1.058,1.048,1.052,1.064,-0.012,-1.1278,234493.06,24661.799
20230725,1.076,1.108,1.075,1.104,1.052,0.052,4.943,1039295.13,114064.787
20230726,1.103,1.114,1.095,1.104,1.104,0.0,0.0,377533.11,41645.824
20230727,1.105,1.13,1.101,1.119,1.104,0.015,1.3587,540976.5,60505.19
20230728,1.113,1.143,1.11,1.141,1.119,0.022,1.966,594100.04,67180.996
20230731,1.15,1.184,1.14,1.144,1.141,0.003,0.2629,724875.54,83927.78
20230801,1.138,1.156,1.128,1.133,1.144,-0.011,-0.9615,491660.29,55974.598
20230802,1.128,1.14,1.122,1.129,1.133,-0.004,-0.353,328637.85,37103.464
20230803,1.128,1.141,1.115,1.138,1.129,0.009,0.7972,366151.25,41404.594
20230804,1.149,1.158,1.136,1.139,1.138,0.001,0.0879,311448.23,35647.422
