date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,1.075,1.104,1.071,1.1,1.076,0.024,2.2305,4751043.22,518697.747
20230104,1.1,1.105,1.09,1.096,1.1,-0.004,-0.3636,4079843.02,447537.661
20230105,1.095,1.102,1.093,1.102,1.096,0.006,0.5474,3094176.39,340229.954
20230106,1.101,1.106,1.093,1.096,1.102,-0.006,-0.5445,6016069.18,662470.685
20230109,1.096,1.097,1.079,1.083,1.096,-0.013,-1.1861,5883803.0,638313.524
20230110,1.084,1.085,1.067,1.073,1.083,-0.01,-0.9234,4669751.27,500358.862
20230111,1.072,1.079,1.059,1.061,1.073,-0.012,-1.1184,3074584.76,328478.017
20230112,1.077,1.082,1.062,1.065,1.061,0.004,0.377,4672596.42,500350.605
20230113,1.065,1.069,1.053,1.062,1.065,-0.003,-0.2817,4011380.85,424742.546
20230116,1.063,1.081,1.061,1.079,1.062,0.017,1.6008,5834805.09,627092.372
20230117,1.08,1.096,1.074,1.088,1.079,0.009,0.8341,6378037.55,693438.487
20230118,1.089,1.095,1.083,1.092,1.088,0.004,0.3676,4166652.72,454575.288
20230119,1.088,1.112,1.087,1.11,1.092,0.018,1.6484,4709365.95,518883.374
20230120,1.111,1.123,1.109,1.118,1.11,0.008,0.7207,4518578.04,504252.738
20230130,1.133,1.154,1.124,1.143,1.118,0.025,2.2361,6962138.06,793603.587
20230131,1.138,1.15,1.136,1.147,1.143,0.004,0.35,4705772.25,538699.761
20230201,1.149,1.16,1.143,1.159,1.147,0.012,1.0462,4185634.0,482049.406
20230202,1.163,1.168,1.14,1.143,1.159,-0.016,-1.3805,4920882.05,565940.571
20230203,1.138,1.158,1.132,1.157,1.143,0.014,1.2248,4768217.11,545130.964
20230206,1.153,1.161,1.142,1.148,1.157,-0.009,-0.7779,3257739.28,374766.347
20230207,1.148,1.151,1.135,1.143,1.148,-0.005,-0.4355,2902773.27,330973.876
20230208,1.143,1.143,1.123,1.124,1.143,-0.019,-1.6623,3076985.24,347509.743
20230209,1.123,1.149,1.12,1.148,1.124,0.024,2.1352,4141846.76,472187.126
20230210,1.146,1.149,1.132,1.137,1.148,-0.011,-0.9582,3078962.19,350785.534
20230213,1.141,1.155,1.139,1.144,1.137,0.007,0.6157,3554051.27,407283.864
20230214,1.144,1.146,1.133,1.138,1.144,-0.006,-0.5245,2304417.19,262116.507
20230215,1.138,1.146,1.133,1.144,1.138,0.006,0.5272,3157434.3,359495.327
20230216,1.143,1.146,1.111,1.123,1.144,-0.021,-1.8357,3894319.61,440752.813
20230217,1.121,1.123,1.102,1.112,1.123,-0.011,-0.9795,3859622.76,429464.687
20230220,1.11,1.118,1.096,1.116,1.112,0.004,0.3597,3643064.43,403684.43
20230221,1.116,1.135,1.113,1.125,1.116,0.009,0.8065,4153025.0,467109.684
20230222,1.12,1.134,1.118,1.129,1.125,0.004,0.3556,2633207.95,297161.86
20230223,1.129,1.132,1.119,1.122,1.129,-0.007,-0.62,3166739.05,355945.595
20230224,1.122,1.148,1.122,1.14,1.122,0.018,1.6043,5217597.6,595067.212
20230227,1.142,1.149,1.131,1.135,1.14,-0.005,-0.4386,4081822.9,465102.441
20230228,1.133,1.139,1.127,1.137,1.135,0.002,0.1762,2198603.07,249308.616
20230301,1.135,1.145,1.132,1.144,1.137,0.007,0.6157,3418569.32,389738.754
20230302,1.144,1.158,1.142,1.145,1.144,0.001,0.0874,4240581.98,488037.94
20230303,1.146,1.168,1.142,1.168,1.145,0.023,2.0087,6674581.5,774333.079
20230306,1.175,1.187,1.17,1.175,1.168,0.007,0.5993,6551120.48,771791.35
20230307,1.171,1.174,1.148,1.15,1.175,-0.025,-2.1277,4553046.92,528510.731
20230308,1.146,1.168,1.143,1.166,1.15,0.016,1.3913,3385741.78,392420.051
20230309,1.163,1.169,1.149,1.156,1.166,-0.01,-0.8576,2116465.16,244923.494
20230310,1.15,1.154,1.137,1.138,1.156,-0.018,-1.5571,2600272.2,297588.958
20230313,1.133,1.15,1.131,1.15,1.138,0.012,1.0545,2191035.83,250416.816
20230314,1.147,1.154,1.129,1.144,1.15,-0.006,-0.5217,2879772.3,329507.013
20230315,1.146,1.151,1.135,1.142,1.144,-0.002,-0.1748,2340314.3,267220.774
20230316,1.133,1.136,1.11,1.112,1.142,-0.03,-2.627,4083027.76,457672.25
20230317,1.119,1.13,1.116,1.121,1.112,0.009,0.8094,2759892.46,309756.418
20230320,1.125,1.125,1.105,1.107,1.121,-0.014,-1.2489,2788709.88,310156.89
20230321,1.121,1.138,1.121,1.129,1.107,0.022,1.9874,3944449.59,445633.807
20230322,1.129,1.13,1.122,1.126,1.129,-0.003,-0.2657,2318401.74,260882.062
20230323,1.123,1.137,1.119,1.135,1.126,0.009,0.7993,3822604.8,431365.546
20230324,1.134,1.134,1.12,1.126,1.135,-0.009,-0.793,3583092.59,402942.248
20230327,1.124,1.124,1.108,1.114,1.126,-0.012,-1.0657,4002558.98,446082.394
20230328,1.112,1.115,1.096,1.097,1.114,-0.017,-1.526,3212649.0,354924.103
20230329,1.098,1.099,1.081,1.086,1.097,-0.011,-1.0027,3915499.43,424773.519
20230330,1.083,1.09,1.08,1.088,1.086,0.002,0.1842,3141039.1,340829.326
20230331,1.087,1.091,1.084,1.091,1.088,0.003,0.2757,3728022.28,405573.144
20230403,1.091,1.11,1.089,1.109,1.091,0.018,1.6499,4197154.12,462652.817
20230404,1.11,1.113,1.101,1.107,1.109,-0.002,-0.1803,3222620.0,356091.298
20230406,1.107,1.123,1.099,1.122,1.107,0.015,1.355,6225240.12,692623.815
20230407,1.119,1.129,1.117,1.125,1.122,0.003,0.2674,3517570.64,395196.517
