date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,1.031,1.057,1.017,1.052,1.041,0.011,1.0567,13880185.01,1438055.348
20230104,1.068,1.104,1.062,1.103,1.052,0.051,4.8479,18991997.12,2065654.12
20230105,1.146,1.163,1.125,1.128,1.103,0.025,2.2665,21051444.64,2401231.828
20230106,1.14,1.148,1.119,1.125,1.128,-0.003,-0.266,15047425.06,1707823.812
20230109,1.146,1.16,1.135,1.157,1.125,0.032,2.8444,15605868.61,1796779.655
20230110,1.151,1.151,1.131,1.147,1.157,-0.01,-0.8643,11569586.0,1321760.893
20230111,1.159,1.18,1.153,1.158,1.147,0.011,0.959,15036628.0,1757679.978
20230112,1.161,1.166,1.123,1.126,1.158,-0.032,-2.7634,16762166.28,1915728.869
20230113,1.138,1.146,1.124,1.146,1.126,0.02,1.7762,13688205.38,1551880.751
20230116,1.158,1.163,1.131,1.136,1.146,-0.01,-0.8726,14998313.69,1720232.613
20230117,1.143,1.159,1.137,1.142,1.136,0.006,0.5282,11430833.0,1310388.742
20230118,1.138,1.154,1.133,1.148,1.142,0.006,0.5254,9898643.85,1135117.573
20230119,1.13,1.147,1.126,1.14,1.148,-0.008,-0.6969,11010717.1,1252038.453
20230120,1.156,1.183,1.154,1.176,1.14,0.036,3.1579,13566895.64,1586048.604
20230130,1.202,1.206,1.154,1.161,1.176,-0.015,-1.2755,22481840.61,2650724.985
20230131,1.159,1.171,1.125,1.127,1.161,-0.034,-2.9285,17765495.8,2033791.541
20230201,1.143,1.168,1.132,1.163,1.127,0.036,3.1943,19037691.52,2184295.988
20230202,1.178,1.182,1.165,1.17,1.163,0.007,0.6019,13117416.34,1540406.855
20230203,1.156,1.157,1.132,1.147,1.17,-0.023,-1.9658,17789704.04,2030779.965
20230206,1.125,1.126,1.106,1.11,1.147,-0.037,-3.2258,20941062.54,2331466.717
20230207,1.119,1.141,1.116,1.128,1.11,0.018,1.6216,15831271.91,1788952.895
20230208,1.13,1.132,1.106,1.114,1.128,-0.014,-1.2411,15078109.99,1683745.4
20230209,1.107,1.145,1.106,1.144,1.114,0.03,2.693,15684566.31,1768281.833
20230210,1.136,1.142,1.108,1.11,1.144,-0.034,-2.972,16282432.0,1823178.529
20230213,1.097,1.12,1.087,1.111,1.11,0.001,0.0901,17635522.0,1950130.106
20230214,1.119,1.12,1.106,1.107,1.111,-0.004,-0.36,8751702.31,971799.577
20230215,1.109,1.111,1.086,1.096,1.107,-0.011,-0.9937,15877316.48,1739133.197
20230216,1.106,1.137,1.103,1.115,1.096,0.019,1.7336,25083779.14,2817187.712
20230217,1.116,1.126,1.095,1.096,1.115,-0.019,-1.704,14197758.0,1574540.231
20230220,1.092,1.106,1.081,1.104,1.096,0.008,0.7299,17505656.61,1913282.435
20230221,1.096,1.098,1.062,1.069,1.104,-0.035,-3.1703,23107170.0,2490669.183
20230222,1.057,1.067,1.046,1.053,1.069,-0.016,-1.4967,19433940.18,2051442.418
20230223,1.053,1.071,1.049,1.059,1.053,0.006,0.5698,20598730.3,2184883.873
20230224,1.055,1.055,1.04,1.041,1.059,-0.018,-1.6997,13586652.34,1423252.842
20230227,1.031,1.054,1.028,1.034,1.041,-0.007,-0.6724,20911218.71,2180897.163
20230228,1.045,1.052,1.026,1.034,1.034,0.0,0.0,18588241.67,1933148.414
20230301,1.036,1.08,1.033,1.079,1.034,0.045,4.352,28012416.0,2968562.272
20230302,1.065,1.072,1.058,1.061,1.079,-0.018,-1.6682,15689083.0,1668042.843
20230303,1.079,1.085,1.067,1.079,1.061,0.018,1.6965,15939580.04,1716382.812
20230306,1.073,1.083,1.066,1.076,1.079,-0.003,-0.278,13068752.0,1404095.484
20230307,1.075,1.096,1.057,1.061,1.076,-0.015,-1.3941,20913052.64,2254607.14
20230308,1.05,1.054,1.04,1.044,1.061,-0.017,-1.6023,12863713.35,1345371.048
20230309,1.047,1.05,1.038,1.04,1.044,-0.004,-0.3831,10976829.0,1146035.785
20230310,1.018,1.02,0.995,0.997,1.04,-0.043,-4.1346,21753392.0,2192105.181
20230313,1.0,1.027,1.0,1.014,0.997,0.017,1.7051,20518783.37,2083230.414
20230314,1.009,1.018,0.995,1.002,1.014,-0.012,-1.1834,15145880.4,1524325.139
20230315,1.02,1.03,1.009,1.009,1.002,0.007,0.6986,13996221.74,1428004.399
20230316,1.0,1.018,0.998,1.0,1.009,-0.009,-0.892,14851137.92,1494284.402
20230317,1.019,1.028,1.014,1.019,1.0,0.019,1.9,13739528.2,1402228.36
20230320,1.017,1.021,1.002,1.004,1.019,-0.015,-1.472,9962339.5,1005553.39
20230321,1.009,1.014,1.003,1.014,1.004,0.01,0.996,10212852.0,1030404.938
20230322,1.024,1.036,1.024,1.026,1.014,0.012,1.1834,10770389.81,1109440.74
20230323,1.021,1.056,1.021,1.055,1.026,0.029,2.8265,17371039.55,1808332.918
20230324,1.059,1.081,1.056,1.059,1.055,0.004,0.3791,15151335.37,1616130.488
20230327,1.06,1.062,1.04,1.052,1.059,-0.007,-0.661,15252861.76,1602373.114
20230328,1.05,1.062,1.044,1.054,1.052,0.002,0.1901,12960658.69,1363473.007
20230329,1.1,1.105,1.085,1.087,1.054,0.033,3.1309,20329299.64,2221569.425
20230330,1.096,1.1,1.082,1.093,1.087,0.006,0.552,10310955.02,1125801.634
20230331,1.11,1.12,1.106,1.112,1.093,0.019,1.7383,12598494.17,1403689.668
20230403,1.112,1.113,1.101,1.104,1.112,-0.008,-0.7194,10940980.72,1209641.316
20230404,1.095,1.096,1.077,1.087,1.104,-0.017,-1.5399,11804585.56,1279640.953
20230406,1.073,1.088,1.07,1.084,1.087,-0.003,-0.276,12938581.51,1397880.389
20230407,1.095,1.105,1.092,1.105,1.084,0.021,1.9373,5574321.0,611917.431
20230410,1.104,1.108,1.098,1.099,1.105,-0.006,-0.543,3547465.75,390519.105
20230411,1.1,1.109,1.083,1.085,1.099,-0.014,-1.2739,9943964.58,1088261.825
20230412,1.085,1.085,1.065,1.066,1.085,-0.019,-1.7512,10963136.98,1174047.114
20230413,1.049,1.057,1.037,1.051,1.066,-0.015,-1.4071,14677598.06,1537512.466
20230414,1.062,1.068,1.051,1.056,1.051,0.005,0.4757,8812451.8,933105.658
20230417,1.05,1.076,1.048,1.073,1.056,0.017,1.6098,14022938.04,1493170.333
20230418,1.073,1.074,1.064,1.065,1.073,-0.008,-0.7456,7113504.2,759760.092
20230419,1.066,1.067,1.056,1.057,1.065,-0.008,-0.7512,6532592.38,693373.467
20230420,1.055,1.065,1.053,1.056,1.057,-0.001,-0.0946,6752718.72,715172.285
20230421,1.048,1.051,1.029,1.03,1.056,-0.026,-2.4621,9104467.78,947802.031
20230424,1.032,1.039,1.013,1.015,1.03,-0.015,-1.4563,10003241.44,1026513.061
20230425,1.015,1.016,0.991,1.002,1.015,-0.013,-1.2808,13163939.85,1318685.247
20230426,0.999,1.025,0.996,1.014,1.002,0.012,1.1976,14283802.48,1445855.816
20230427,1.008,1.012,1.002,1.006,1.014,-0.008,-0.789,9223712.0,927797.111
20230428,1.014,1.026,1.008,1.015,1.006,0.009,0.8946,8409582.0,855808.184
20230504,1.004,1.011,1.0,1.004,1.015,-0.011,-1.0837,9475329.83,951658.316
20230505,1.01,1.021,1.008,1.015,1.004,0.011,1.0956,9667219.16,981130.438
20230508,1.015,1.022,1.007,1.012,1.015,-0.003,-0.2956,7759359.03,786567.636
20230509,1.01,1.011,0.997,0.997,1.012,-0.015,-1.4822,7579352.0,760544.852
20230510,0.996,1.0,0.99,0.999,0.997,0.002,0.2006,8726283.0,867957.124
20230511,1.003,1.009,0.993,0.994,0.999,-0.005,-0.5005,6804038.06,680895.483
20230512,1.01,1.017,1.006,1.009,0.994,0.015,1.5091,8836606.06,894682.863
20230515,1.004,1.033,1.002,1.028,1.009,0.019,1.8831,13652453.0,1391745.384
20230516,1.039,1.041,1.026,1.028,1.028,0.0,0.0,5952417.68,615398.091
20230517,1.031,1.041,1.026,1.03,1.028,0.002,0.1946,6403674.0,661742.031
