date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20230103,1.022,1.05,1.016,1.05,1.028,0.022,2.1401,286812.0,29693.602
20230104,1.051,1.062,1.035,1.043,1.05,-0.007,-0.6667,266138.0,27773.251
20230105,1.047,1.058,1.036,1.057,1.043,0.014,1.3423,312809.0,32802.319
20230106,1.054,1.064,1.043,1.051,1.057,-0.006,-0.5676,381000.0,40102.402
20230109,1.051,1.071,1.046,1.056,1.051,0.005,0.4757,349712.0,36946.235
20230110,1.055,1.075,1.051,1.063,1.056,0.007,0.6629,604253.0,64278.632
20230111,1.058,1.081,1.048,1.053,1.063,-0.01,-0.9407,394309.0,42058.625
20230112,1.054,1.054,1.039,1.044,1.053,-0.009,-0.8547,225392.0,23540.76
20230113,1.045,1.048,1.035,1.046,1.044,0.002,0.1916,261707.0,27250.537
20230116,1.04,1.08,1.038,1.074,1.046,0.028,2.6769,359738.0,38400.83
20230117,1.074,1.108,1.074,1.107,1.074,0.033,3.0726,428073.0,47090.317
20230118,1.112,1.112,1.098,1.103,1.107,-0.004,-0.3613,243000.0,26834.42
20230119,1.1,1.132,1.096,1.132,1.103,0.029,2.6292,330976.0,37119.586
20230120,1.145,1.145,1.126,1.134,1.132,0.002,0.1767,290577.0,32866.423
20230130,1.151,1.151,1.121,1.124,1.134,-0.01,-0.8818,398820.0,45018.239
20230131,1.122,1.122,1.088,1.095,1.124,-0.029,-2.5801,678686.0,74489.473
20230201,1.096,1.118,1.096,1.114,1.095,0.019,1.7352,430931.0,47742.356
20230202,1.118,1.151,1.118,1.134,1.114,0.02,1.7953,521626.0,59208.308
20230203,1.131,1.144,1.117,1.138,1.134,0.004,0.3527,397133.12,44817.901
20230206,1.127,1.141,1.122,1.126,1.138,-0.012,-1.0545,400184.0,45192.462
20230207,1.124,1.13,1.116,1.122,1.126,-0.004,-0.3552,318455.0,35688.427
20230208,1.126,1.138,1.108,1.109,1.122,-0.013,-1.1586,254654.0,28468.623
20230209,1.108,1.16,1.1,1.159,1.109,0.05,4.5086,595847.0,67607.534
20230210,1.154,1.169,1.145,1.152,1.159,-0.007,-0.604,598001.43,69195.081
20230213,1.144,1.175,1.14,1.165,1.152,0.013,1.1285,611789.43,70852.884
20230214,1.165,1.184,1.152,1.159,1.165,-0.006,-0.515,487935.0,56815.496
20230215,1.154,1.184,1.149,1.183,1.159,0.024,2.0708,469278.0,54882.744
20230216,1.18,1.195,1.141,1.147,1.183,-0.036,-3.0431,665959.44,77988.153
20230217,1.148,1.15,1.113,1.113,1.147,-0.034,-2.9643,589930.0,66649.454
20230220,1.114,1.125,1.103,1.122,1.113,0.009,0.8086,500156.0,55587.998
20230221,1.12,1.134,1.106,1.116,1.122,-0.006,-0.5348,431980.0,48316.164
20230222,1.11,1.13,1.105,1.122,1.116,0.006,0.5376,410666.0,45985.379
20230223,1.123,1.125,1.112,1.117,1.122,-0.005,-0.4456,352157.0,39378.182
20230224,1.121,1.134,1.113,1.12,1.117,0.003,0.2686,413826.0,46445.337
20230227,1.111,1.121,1.098,1.103,1.12,-0.017,-1.5179,563645.0,62271.401
20230228,1.108,1.115,1.093,1.104,1.103,0.001,0.0907,395347.44,43555.321
20230301,1.104,1.119,1.1,1.119,1.104,0.015,1.3587,462388.0,51283.476
20230302,1.118,1.126,1.106,1.108,1.119,-0.011,-0.983,418970.0,46649.943
20230303,1.12,1.142,1.117,1.139,1.108,0.031,2.7978,657801.0,74518.353
20230306,1.139,1.164,1.128,1.156,1.139,0.017,1.4925,1022812.0,117862.992
20230307,1.149,1.158,1.126,1.128,1.156,-0.028,-2.4221,649350.0,74292.731
20230308,1.124,1.148,1.124,1.146,1.128,0.018,1.5957,552423.0,62902.678
20230309,1.141,1.169,1.141,1.158,1.146,0.012,1.0471,586791.0,68015.456
20230310,1.145,1.179,1.143,1.156,1.158,-0.002,-0.1727,958539.0,111657.077
20230313,1.145,1.16,1.138,1.155,1.156,-0.001,-0.0865,1186576.0,136052.721
20230314,1.152,1.2,1.144,1.192,1.155,0.037,3.2035,1711228.0,201719.347
20230315,1.193,1.222,1.186,1.195,1.192,0.003,0.2517,1117282.38,134112.599
20230316,1.182,1.206,1.175,1.177,1.195,-0.018,-1.5063,1351505.0,161138.539
20230317,1.186,1.234,1.18,1.23,1.177,0.053,4.503,1312762.89,158650.983
20230320,1.223,1.269,1.22,1.255,1.23,0.025,2.0325,1580938.0,197727.962
20230321,1.251,1.261,1.238,1.256,1.255,0.001,0.0797,1319478.0,164818.359
20230322,1.254,1.275,1.246,1.269,1.256,0.013,1.035,1896901.0,239751.847
20230323,1.261,1.325,1.256,1.322,1.269,0.053,4.1765,1820813.0,235875.192
20230324,1.315,1.322,1.278,1.3,1.322,-0.022,-1.6641,1882667.0,244764.033
20230327,1.286,1.306,1.26,1.277,1.3,-0.023,-1.7692,2094725.44,269032.98
20230328,1.265,1.28,1.241,1.243,1.277,-0.034,-2.6625,1785328.89,224639.162
20230329,1.243,1.322,1.235,1.296,1.243,0.053,4.2639,2402448.89,307245.418
20230330,1.298,1.322,1.284,1.302,1.296,0.006,0.463,2029938.0,264786.387
20230331,1.3,1.33,1.285,1.327,1.302,0.025,1.9201,1446030.0,189002.549
20230403,1.334,1.396,1.334,1.395,1.327,0.068,5.1243,2302142.51,313743.785
20230404,1.385,1.465,1.379,1.427,1.395,0.032,2.2939,2689190.0,383387.593
20230406,1.409,1.525,1.409,1.473,1.427,0.046,3.2235,3288525.47,485507.069
20230407,1.476,1.514,1.458,1.506,1.473,0.033,2.2403,3404685.85,506429.708
20230410,1.507,1.534,1.438,1.443,1.506,-0.063,-4.1833,3832399.0,567345.648
20230411,1.443,1.467,1.401,1.426,1.443,-0.017,-1.1781,3104734.0,445760.734
20230412,1.422,1.468,1.41,1.452,1.426,0.026,1.8233,3021175.93,437462.09
20230413,1.444,1.457,1.398,1.406,1.452,-0.046,-3.168,2488779.98,354333.739
20230414,1.42,1.494,1.382,1.491,1.406,0.085,6.0455,5960691.15,867554.903
20230417,1.49,1.515,1.47,1.487,1.491,-0.004,-0.2683,3213234.0,479195.857
20230418,1.47,1.476,1.427,1.45,1.487,-0.037,-2.4882,4162589.42,602650.115
20230419,1.455,1.513,1.455,1.478,1.45,0.028,1.931,5050619.72,749159.852
20230420,1.471,1.55,1.471,1.549,1.478,0.071,4.8038,4960099.67,755936.072
20230421,1.54,1.544,1.454,1.461,1.549,-0.088,-5.6811,7065226.77,1053941.78
20230424,1.44,1.46,1.411,1.422,1.461,-0.039,-2.6694,6243229.06,892873.446
20230425,1.424,1.447,1.386,1.404,1.422,-0.018,-1.2658,6333801.46,895880.005
20230426,1.387,1.404,1.333,1.35,1.404,-0.054,-3.8462,5530771.48,753134.841
20230427,1.338,1.394,1.336,1.354,1.35,0.004,0.2963,4401844.26,599663.252
20230428,1.346,1.399,1.34,1.398,1.354,0.044,3.2496,6449026.6,890309.641
20230504,1.38,1.389,1.34,1.346,1.398,-0.052,-3.7196,3819456.0,516659.84
20230505,1.347,1.364,1.316,1.323,1.346,-0.023,-1.7088,3948550.51,528598.183
20230508,1.32,1.349,1.306,1.329,1.323,0.006,0.4535,4201196.96,559091.308
20230509,1.323,1.336,1.283,1.284,1.329,-0.045,-3.386,4037275.06,528616.218
20230510,1.275,1.294,1.249,1.266,1.284,-0.018,-1.4019,3787069.11,479747.685
20230511,1.281,1.294,1.273,1.276,1.266,0.01,0.7899,3051626.28,391204.446
20230512,1.285,1.312,1.263,1.265,1.276,-0.011,-0.8621,3417404.51,439862.904
20230515,1.254,1.271,1.239,1.27,1.265,0.005,0.3953,4748451.18,596392.765
20230516,1.275,1.292,1.261,1.274,1.27,0.004,0.315,4689609.88,598811.955
20230517,1.268,1.306,1.264,1.284,1.274,0.01,0.7849,4001803.28,515550.837
20230518,1.287,1.31,1.282,1.302,1.284,0.018,1.4019,4420589.23,573283.944
20230519,1.31,1.339,1.31,1.32,1.302,0.018,1.3825,4207917.02,557725.931
20230522,1.325,1.335,1.295,1.304,1.32,-0.016,-1.2121,2892712.43,378276.657
20230523,1.295,1.298,1.271,1.274,1.304,-0.03,-2.3006,2344016.02,301147.903
20230524,1.264,1.297,1.251,1.271,1.274,-0.003,-0.2355,3989878.2,507808.202
20230525,1.28,1.3,1.265,1.299,1.271,0.028,2.203,4103922.93,526721.649
20230526,1.303,1.339,1.299,1.336,1.299,0.037,2.8483,4763060.03,629816.259
20230529,1.354,1.374,1.337,1.351,1.336,0.015,1.1228,5809039.83,788229.878
20230530,1.341,1.372,1.333,1.368,1.351,0.017,1.2583,4311267.37,583612.161
20230531,1.365,1.39,1.359,1.389,1.368,0.021,1.5351,5592965.1,769462.606
20230601,1.377,1.387,1.362,1.363,1.389,-0.026,-1.8719,4944248.8,678809.557
20230602,1.373,1.374,1.342,1.352,1.363,-0.011,-0.807,4761193.05,645658.35
20230605,1.361,1.389,1.356,1.36,1.352,0.008,0.5917,5190686.52,712970.613
20230606,1.351,1.355,1.312,1.315,1.36,-0.045,-3.3088,4524977.0,604344.534
20230607,1.316,1.324,1.307,1.313,1.315,-0.002,-0.1521,2867280.14,376986.612
20230608,1.308,1.309,1.279,1.282,1.313,-0.031,-2.361,3498019.63,450116.621
20230609,1.286,1.305,1.269,1.303,1.282,0.021,1.6381,4539758.64,582572.087
20230612,1.301,1.319,1.296,1.298,1.303,-0.005,-0.3837,4006387.04,523714.226
20230613,1.3,1.35,1.293,1.347,1.298,0.049,3.775,5727351.33,758889.84
20230614,1.345,1.355,1.335,1.348,1.347,0.001,0.0742,4811745.36,647953.38
20230615,1.355,1.359,1.322,1.327,1.348,-0.021,-1.5579,4303320.0,574115.493
20230616,1.321,1.34,1.312,1.338,1.327,0.011,0.8289,4676771.34,621001.971
20230619,1.339,1.351,1.326,1.345,1.338,0.007,0.5232,3922718.76,526833.678
20230620,1.344,1.354,1.322,1.339,1.345,-0.006,-0.4461,4772422.52,636604.82
20230621,1.33,1.331,1.273,1.274,1.339,-0.065,-4.8544,4977516.14,645180.2
20230626,1.257,1.278,1.239,1.25,1.274,-0.024,-1.8838,4425576.9,555859.37
20230627,1.252,1.265,1.241,1.244,1.25,-0.006,-0.48,2832638.33,353602.787
20230628,1.25,1.269,1.225,1.247,1.244,0.003,0.2412,5263442.44,657952.187
20230629,1.243,1.264,1.235,1.237,1.247,-0.01,-0.8019,2984322.42,371643.233
20230630,1.234,1.249,1.228,1.245,1.237,0.008,0.6467,3402607.27,422610.597
20230703,1.25,1.263,1.24,1.257,1.245,0.012,0.9639,3186868.81,398567.887
20230704,1.257,1.298,1.252,1.286,1.257,0.029,2.3071,4199664.42,535721.589
20230705,1.281,1.29,1.263,1.265,1.286,-0.021,-1.633,3348607.25,427363.827
20230706,1.26,1.283,1.258,1.27,1.265,0.005,0.3953,2092601.85,266121.473
20230707,1.263,1.267,1.245,1.253,1.27,-0.017,-1.3386,3669961.0,460680.649
20230710,1.256,1.263,1.243,1.249,1.253,-0.004,-0.3192,3018042.0,377170.78
20230711,1.249,1.281,1.249,1.276,1.249,0.027,2.1617,4245419.95,539229.584
20230712,1.275,1.277,1.24,1.241,1.276,-0.035,-2.7429,3791615.34,476128.293
20230713,1.249,1.268,1.245,1.263,1.241,0.022,1.7728,3586056.96,451096.528
20230714,1.27,1.278,1.26,1.263,1.263,0.0,0.0,2414024.81,305773.745
20230717,1.258,1.258,1.238,1.246,1.263,-0.017,-1.346,2522431.06,314185.604
20230718,1.248,1.263,1.237,1.24,1.246,-0.006,-0.4815,2716462.28,339035.268
20230719,1.237,1.243,1.218,1.22,1.24,-0.02,-1.6129,2781646.42,341123.925
20230720,1.227,1.228,1.197,1.2,1.22,-0.02,-1.6393,2583878.45,313164.277
20230721,1.197,1.204,1.182,1.188,1.2,-0.012,-1.0,2339313.93,278887.761
20230724,1.186,1.196,1.179,1.181,1.188,-0.007,-0.5892,2491519.0,295399.701
20230725,1.195,1.2,1.185,1.196,1.181,0.015,1.2701,2965042.98,353706.634
20230726,1.196,1.21,1.193,1.197,1.196,0.001,0.0836,2459519.1,295381.434
20230727,1.192,1.196,1.173,1.176,1.197,-0.021,-1.7544,2433102.0,288414.669
20230728,1.172,1.186,1.167,1.182,1.176,0.006,0.5102,2943546.0,346516.269
