date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2025-07-02,35.0,35.46,34.88,35.06,34.83,0.23,0.6604,66536.54,233817.658
2025-07-03,35.01,35.18,34.08,34.25,35.06,-0.81,-2.3103,74906.21,257934.702
2025-07-04,34.1,34.59,34.01,34.52,34.25,0.27,0.7883,86662.49,297464.852
2025-07-07,34.44,34.62,33.93,34.0,34.52,-0.52,-1.5064,86586.54,295642.718
2025-07-08,34.0,34.55,33.67,34.11,34.0,0.11,0.3235,90912.21,310249.394
2025-07-09,34.15,34.37,33.8,33.95,34.11,-0.16,-0.4691,64284.0,218592.529
2025-07-10,35.0,35.92,34.82,35.09,33.95,1.14,3.3579,175597.01,621478.082
2025-07-11,35.0,35.49,34.51,35.24,35.09,0.15,0.4275,88628.38,310536.096
2025-07-14,35.24,36.85,35.0,36.42,35.24,1.18,3.3485,126439.95,455395.797
2025-07-15,36.3,37.15,36.22,36.89,36.42,0.47,1.2905,91435.09,336832.124
2025-07-16,37.08,37.57,36.53,37.52,36.89,0.63,1.7078,84477.55,314010.42
2025-07-17,37.52,39.19,37.38,38.85,37.52,1.33,3.5448,124899.21,479390.429
2025-07-18,39.0,39.18,38.44,38.88,38.85,0.03,0.0772,66925.63,260125.023
2025-07-21,38.81,38.88,37.59,38.32,38.88,-0.56,-1.4403,90035.25,343384.42
2025-07-22,38.3,39.59,38.08,39.25,38.32,0.93,2.4269,89667.24,351032.717
2025-07-23,39.1,39.65,38.95,39.24,39.25,-0.01,-0.0255,58675.95,230609.573
2025-07-24,39.24,40.05,38.91,40.04,39.24,0.8,2.0387,69757.58,276118.223
2025-07-25,39.81,40.17,39.66,39.73,40.04,-0.31,-0.7742,47842.0,190993.745
2025-07-28,39.7,40.5,39.35,39.93,39.73,0.2,0.5034,47674.39,190918.527
2025-07-29,39.79,40.32,39.07,39.34,39.93,-0.59,-1.4776,81143.37,319520.306
2025-07-30,39.46,39.98,39.13,39.6,39.34,0.26,0.6609,40196.0,159311.073
2025-07-31,39.57,39.76,38.44,38.93,39.6,-0.67,-1.6919,72102.62,279946.65
2025-08-01,38.79,39.0,38.41,38.68,38.93,-0.25,-0.6422,51253.14,198166.755
2025-08-04,38.6,39.85,38.38,39.28,38.68,0.6,1.5512,56411.89,222145.305
2025-08-05,39.39,40.3,39.21,40.25,39.28,0.97,2.4695,55050.49,220278.735
2025-08-06,40.25,40.95,40.1,40.27,40.25,0.02,0.0497,66897.48,270121.177
2025-08-07,44.0,44.3,44.0,44.3,40.27,4.03,10.0074,85303.97,377663.283
2025-08-08,45.21,46.52,45.01,45.37,44.3,1.07,2.4153,255571.37,1164328.012
2025-08-11,45.91,46.29,44.92,45.82,45.37,0.45,0.9918,166317.45,759022.215
2025-08-12,45.72,47.28,45.61,46.99,45.82,1.17,2.5535,114872.36,534682.452
2025-08-13,46.74,47.12,45.68,46.67,46.99,-0.32,-0.681,106750.14,494657.96
2025-08-14,46.4,46.9,45.9,45.93,46.67,-0.74,-1.5856,89239.34,413128.917
2025-08-15,45.75,47.1,45.47,46.81,45.93,0.88,1.916,83537.09,389122.778
2025-08-18,47.26,47.31,45.75,45.95,46.81,-0.86,-1.8372,91259.04,423205.578
2025-08-19,45.95,46.35,45.05,45.55,45.95,-0.4,-0.8705,72403.28,330233.053
2025-08-20,45.31,45.88,45.03,45.87,45.55,0.32,0.7025,64210.2,292318.713
2025-08-21,45.68,46.59,45.21,46.18,45.87,0.31,0.6758,73876.46,339871.464
2025-08-22,46.05,46.63,45.6,46.56,46.18,0.38,0.8229,78914.77,364600.869
2025-08-25,46.58,48.44,46.55,47.9,46.56,1.34,2.878,117769.78,562375.576
2025-08-26,47.56,49.4,47.35,49.21,47.9,1.31,2.7349,96114.24,466929.51
2025-08-27,48.75,48.8,47.08,47.19,49.21,-2.02,-4.1049,88429.23,424420.8
2025-08-28,47.05,47.38,45.4,46.88,47.19,-0.31,-0.6569,90743.69,420616.872
2025-08-29,46.61,47.66,46.1,47.44,46.88,0.56,1.1945,78270.22,368302.589
2025-09-01,47.2,47.84,46.62,47.2,47.44,-0.24,-0.5059,83484.85,394808.747
2025-09-02,47.2,47.88,46.77,47.11,47.2,-0.09,-0.1907,56468.31,266880.918
